,Reactant SMILES,Reactant SMILES_2,Product SMILES,Product SMILES_2,Catalyst SMILES,Ligand SMILES,Solvent SMILES,Solvent SMILES_2,Additive SMILES,Additive SMILES_2,Additive SMILES_s2,Ref.(DOI),LED step 2,Number of Coordination Atoms 1,pdf name (don't include '.pdf'),L/M 1,S/C 1,Reaction Temperature/C step 2,Reaction Temperature/C,Ligand Name 2,Yield 3,dr 3,Central Metal of Catalyst 2,dr 1,Ligand 2 Type,Product Name 3,Additive 2 step 2,Ammount of additive 1,Product 1 R or S,ee 3,Ammount of additive 2,(Pre)Catalyst Name 2,"Molecular Sieve(3A, 4A, 5A)",Yield 1,Solvent 1 ammount(mL),Charge of Ligand 1,Charge of Ligand 2,Ammount of additive 1 step 2,Central Metal of Catalyst 1,Ligand 1 Type,Pre catalyst 2(True or False),Ammount of reactant 1(mmol),Ammount of Molecular Sieve(mg),Reaction Time/h,LED,Pre catalyst 1(True or False),dr 2,Reaction ID,Yield 2,Valence of Central Metal 1,"Other information(use ""-"" to split, eg. 'property1-property2')",Product 2 R or S,Solvent 2 ammount(mL),Type of Coordination Atoms 1,L/M 2,Pressure/atm,Number of Coordination Atoms 2,Valence of Central Metal 2,Type of Coordination Atoms 2,Reaction Time/h step 2,ee 1,S/C 2,Ammount of additive 2 step 2,ee 2,Reaction Type,Product 3 R or S,Solvent Ratio,Ammount of reactant 2(mmol),exo/endo,Type of Coordination Atoms,Number of Coordination Atoms
0,C1(CCC2)=C2C=CC=C1,,O[C@H]1CCC2=C1C=CC=C2,O=C1CCC2=C1C=CC=C2,CC(C)(C1=CC(CC(OCC2=CC=C(C=C2)OC3=C(C4C=CC=CC4C=C3)C5=C(OC6=CC=C(C=C6)COC(CC7=CC(C(C)(C)C)=C(C(/C=N/[C@@H](CCCC8)[C@@H]8/N=C/9)=C7)[O-])=O)C=CC%10=C5C=CC=C%10)=O)=CC9=C1[O-])C.[Cl-].[Mn+3],,ClC(C)(Cl)C,,O=IC1=CC=CC=C1,,,10.1002_adsc.200303190,,3.0,10.1002_adsc.200303190,125.0,500,,0,,,,,,,,,0.1,S,,,,,0.113043478,0.5,,,,Mn,,,1.0,,7.0,,False,,1.0,0.086956522,3.0,,,,"O,O,Cl",,,,,,,0.05,,,,1.0,,,,,,
1,C1(CCC2)=C2C=CC=C1,,O[C@H]1CCC2=C1C=CC=C2,O=C1CCC2=C1C=CC=C2,CC(C)(C1=CC(CC(OCC2=CC=C(C=C2)OC3=C(C4C=CC=CC4C=C3)C5=C(OC6=CC=C(C=C6)COC(CC7=CC(C(C)(C)C)=C(C(/C=N/[C@@H](CCCC8)[C@@H]8/N=C/9)=C7)[O-])=O)C=CC%10=C5C=CC=C%10)=O)=CC9=C1[O-])C.[Cl-].[Mn+3],C1=NC=CN1,ClC(C)(Cl)C,,O=IC1=CC=CC=C1,,,10.1002_adsc.200303190,,1.0,10.1002_adsc.200303190,125.0,500,,0,,,,,,,,,0.1,S,,,,,0.282692308,0.5,0.0,,,Mn,,,1.0,,7.0,,True,,2.0,0.067307692,3.0,,,,N,,,,,,,0.08,,,,1.0,,,,,,
2,C1(CCC2)=C2C=CC=C1,,O[C@H]1CCC2=C1C=CC=C2,O=C1CCC2=C1C=CC=C2,CC(C)(C1=CC(CC(OCC2=CC=C(C=C2)OC3=C(C4C=CC=CC4C=C3)C5=C(OC6=CC=C(C=C6)COC(CC7=CC(C(C)(C)C)=C(C(/C=N/[C@@H](CCCC8)[C@@H]8/N=C/9)=C7)[O-])=O)C=CC%10=C5C=CC=C%10)=O)=CC9=C1[O-])C.[Cl-].[Mn+3],[O-][N+]1=CC=C(C2=CC=CC=C2)C=C1,ClC(C)(Cl)C,,O=IC1=CC=CC=C1,,,10.1002_adsc.200303190,,1.0,10.1002_adsc.200303190,125.0,500,,0,,,,,,,,,0.1,S,,,,,0.15,0.5,0.0,,,Mn,,,1.0,,7.0,,True,,3.0,0.03,3.0,,,,O,,,,,,,0.14,,,,1.0,,,,,,
3,C1(CCC2)=C2C=CC=C1,,O[C@H]1CCC2=C1C=CC=C2,O=C1CCC2=C1C=CC=C2,CC(C)(C1=CC(CC(OCC2=CC=C(C=C2)OC3=C(C4C=CC=CC4C=C3)C5=C(OC6=CC=C(C=C6)COC(CC7=CC(C(C)(C)C)=C(C(/C=N/[C@@H](CCCC8)[C@@H]8/N=C/9)=C7)[O-])=O)C=CC%10=C5C=CC=C%10)=O)=CC9=C1[O-])C.[Cl-].[Mn+3],C1(C2CCCCC2)=CN=CN1C3CCCCC3,ClC(C)(Cl)C,,O=IC1=CC=CC=C1,,,10.1002_adsc.200303190,,1.0,10.1002_adsc.200303190,125.0,500,,0,,,,,,,,,0.1,S,,,,,0.340508475,0.5,0.0,,,Mn,,,1.0,,7.0,,True,,4.0,0.069491525,3.0,,,,N,,,,,,,0.25,,,,1.0,,,,,,
4,C1(CCC2)=C2C=CC=C1,,O[C@H]1CCC2=C1C=CC=C2,O=C1CCC2=C1C=CC=C2,CC(C)(C1=CC(CC(OCC2=CC=C(C=C2)OC3=C(C4C=CC=CC4C=C3)C5=C(OC6=CC=C(C=C6)COC(CC7=CC(C(C)(C)C)=C(C(/C=N/[C@@H](CCCC8)[C@@H]8/N=C/9)=C7)[O-])=O)C=CC%10=C5C=CC=C%10)=O)=CC9=C1[O-])C.[Cl-].[Mn+3],C1(C2CCCCC2)=CN=CN1C3CCCCC3,ClC(C)(Cl)C,,O=IC1=CC=CC=C1,,,10.1002_adsc.200303190,,1.0,10.1002_adsc.200303190,125.0,500,,-30,,,,,,,,,0.1,S,,,,,0.200980392,0.5,0.0,,,Mn,,,1.0,,7.0,,True,,5.0,0.049019608,3.0,,,,N,,,,,,,0.34,,,,1.0,,,,,,
5,C1(CCC2)=C2C=CC=C1,,O[C@H]1CCC2=C1C=CC=C2,O=C1CCC2=C1C=CC=C2,CC(C)(C1=CC(CC(OCC2=CC=C(C=C2)OC3=C(C4C=CC=CC4C=C3)C5=C(OC6=CC=C(C=C6)COC(CC7=CC(C(C)(C)C)=C(C(/C=N/[C@H](CCCC8)[C@@H]8/N=C/9)=C7)[O-])=O)C=CC%10=C5C=CC=C%10)=O)=CC9=C1[O-])C.[Cl-].[Mn+3],C1(C2CCCCC2)=CN=CN1C3CCCCC3,ClC(C)(Cl)C,,O=IC1=CC=CC=C1,,,10.1002_adsc.200303190,,1.0,10.1002_adsc.200303190,125.0,500,,-30,,,,,,,,,0.1,R,,,,,0.216,0.5,0.0,,,Mn,,,1.0,,7.0,,True,,6.0,0.024,3.0,,,,N,,,,,,,0.15,,,,1.0,,,,,,
6,C1(CCC2)=C2C=CC=C1,,O[C@H]1CCC2=C1C=CC=C2,O=C1CCC2=C1C=CC=C2,CC(C)(C1=CC(C(C)(C)C)=CC(/C=N/[C@H]2[C@H](CCCC2)/N=C/C3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3[O-])=C1[O-])C.[Cl-].[Mn+3],C1(C2CCCCC2)=CN=CN1C3CCCCC3,ClC(C)(Cl)C,,O=IC1=CC=CC=C1,,,10.1002_adsc.200303190,,1.0,10.1002_adsc.200303190,125.0,500,,-30,,,,,,,,,0.1,S,,,,,0.186666667,0.5,0.0,,,Mn,,,1.0,,7.0,,True,,7.0,0.053333333,3.0,,,,N,,,,,,,0.15,,,,1.0,,,,,,
7,CC1(C)OC2=CC=CC=C2C=C1,,CC1(C)OC2=CC=CC=C2[C@@H]3[C@H]1O3,,CC(C)(C1=CC(CC(OCC2=CC=C(C=C2)OC3=C(C4C=CC=CC4C=C3)C5=C(OC6=CC=C(C=C6)COC(CC7=CC(C(C)(C)C)=C(C(/C=N/[C@@H](CCCC8)[C@@H]8/N=C/9)=C7)[O-])=O)C=CC%10=C5C=CC=C%10)=O)=CC9=C1[O-])C.[Cl-].[Mn+3],[O-][N+]1=CC=C(C2=CC=CC=C2)C=C1,ClC(C)(Cl)C,,O=IC1=CC=CC=C1,,,10.1002_adsc.200303190,,1.0,10.1002_adsc.200303190,100.0,100,,-30,,,,,,,,,0.1,"3S,4R",,,,,0.5,1.0,0.0,,,Mn,,,0.1,,4.0,,True,,8.0,,3.0,,,,O,,,,,,,0.93,,,,2.0,,,,,,
8,OC1=CC=CC=C1C([H])=O,C1(C2)C=CC2CC1,OC1=CC=CC=C1C([C@@]2([H])C[C@@H]3CC[C@H]2C3)=O,[H][C@@]1(C(C2=CC=CC=C2O)=O)C[C@@H]3CC[C@H]1C3,C=C.C=C.C=C.C=C.[Rh+].[Rh+].[Cl-].[Cl-],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,ClCCCl,,,,,10.1002_adsc.200600583,,2.0,10.1002_adsc.200600583,6.0,5,,80,,,,,,,,,,S,,,,,0.4,2.0,0.0,,,Rh,,,0.3,,62.0,,True,,1.0,,1.0,,R,,"P,P",,,,,,,,,,,3.0,,,1.8,98:2,,
9,OC1=CC=CC=C1C([H])=O,C1(C2)C=CC2CC1,OC1=CC=CC=C1C([C@@]2([H])C[C@@H]3CC[C@H]2C3)=O,[H][C@@]1(C(C2=CC=CC=C2O)=O)C[C@@H]3CC[C@H]1C3,C=C.C=C.C=C.C=C.[Rh+].[Rh+].[Cl-].[Cl-],[C@@H]1([Fe]C2C(P(C3=CC=CC=C3)C4=CC=CC=C4)=CC=C2)C=CC=C1P(C5=CC=CC=C5)C6=CC=CC=C6,ClCCCl,,,,,10.1002_adsc.200600583,,2.0,10.1002_adsc.200600583,2.0,10,,80,,,,,,,,,,S,,,,,,2.0,0.0,,,Rh,,,0.3,,115.0,,True,,2.0,,1.0,,R,,"P,P",,,,,,,,,,,3.0,,,1.8,,,
