Reaction ID,Reaction Type,Reactant Name 1,Ammount of reactant 1(mmol),Reactant Name 2,Ammount of reactant 2(mmol),Product Name 1,Product Name 2,Product Name 3,Product 1 R or S,Product 2 R or S,Product 3 R or S,Solvent 1,Solvent 2,Solvent Ratio,Solvent 1 ammount(mL),Solvent 2 ammount(mL),Additive 1,Ammount of additive 1,Additive 2,Ammount of additive 2,Additive 1 step 2,Ammount of additive 1 step 2,Additive 2 step 2,Ammount of additive 2 step 2,"Molecular Sieve(3A, 4A, 5A)",Ammount of Molecular Sieve(mg),Pre catalyst 1(True or False),(Pre)Catalyst Name 1,Ligand Name 1,Central Metal of Catalyst 1,Valence of Central Metal 1,Charge of Ligand 1,Ligand 1 Type,Number of Coordination Atoms 1,Type of Coordination Atoms 1,Pre catalyst 2(True or False),(Pre)Catalyst Name 2,Ligand Name 2,Central Metal of Catalyst 2,Valence of Central Metal 2,Charge of Ligand 2,Ligand 2 Type,Number of Coordination Atoms 2,Type of Coordination Atoms 2,Reaction Time/h,Reaction Temperature/C,LED,Reaction Time/h step 2,Reaction Temperature/C step 2,LED step 2,exo/endo,Yield 1,ee 1,Yield 2,ee 2,Yield 3,ee 3,dr 1,dr 2,dr 3,Pressure/atm,S/C 1,S/C 2,L/M 1,L/M 2,Ref.(DOI),pdf name (don't include '.pdf'),"Other information(use ""-"" to split, eg. 'property1-property2')"
1,3,2-hydroxybenzaldehyde,0.3,bicyclo[2.2.1]hept-2-ene,1.8,"((1S,2S,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxyphenyl)methanone","((1S,2R,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,,,,,,,,,,,TRUE,[RhCl(C2H4)2]2,triphenylphosphane,Rh,1,0,,2,"P,P",,,,,,,,,,62,80,,,,,98:2,0.4,,,,,,,,,,5,,6,,10.1002_adsc.200600583,10.1002_adsc.200600583,
2,3,2-hydroxybenzaldehyde,0.3,bicyclo[2.2.1]hept-2-ene,1.8,"((1S,2S,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxyphenyl)methanone","((1S,2R,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,,,,,,,,,,,TRUE,[RhCl(C2H4)2]2,"1,1'-Bis(diphenylphosphino)ferrocene",Rh,1,0,,2,"P,P",,,,,,,,,,115,80,,,,,,,,,,,,,,,,10,,2,,10.1002_adsc.200600583,10.1002_adsc.200600583,
3,3,2-hydroxybenzaldehyde,0.3,bicyclo[2.2.1]hept-2-ene,1.8,"((1S,2S,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxyphenyl)methanone","((1S,2R,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,AgClO4,0.06,,,,,,,,,TRUE,[RhCl(C2H4)2]2,"1,1'-Bis(diphenylphosphino)ferrocene",Rh,1,0,,2,"P,P",,,,,,,,,,115,80,,,,,95:5,,,,,,,,,,,5,,2,,10.1002_adsc.200600583,10.1002_adsc.200600583,
4,3,2-hydroxybenzaldehyde,0.3,bicyclo[2.2.1]hept-2-ene,1.8,"((1S,2S,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxyphenyl)methanone","((1S,2R,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,AgClO4,0.06,,,,,,,,,TRUE,[RhCl(C2H4)2]2,rac-BINAP,Rh,1,0,,2,"P,P",,,,,,,,,,37,80,,,,,,,,,,,,,,,,5,,2,,10.1002_adsc.200600583,10.1002_adsc.200600583,
5,3,2-hydroxybenzaldehyde,0.3,bicyclo[2.2.1]hept-2-ene,1.8,"((1S,2S,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxyphenyl)methanone","((1S,2R,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,,,,,,,,,,,TRUE,[Rh(nbd)2BF4],triphenylphosphane,Rh,1,0,,2,"P,P",,,,,,,,,,115,80,,,,,97:3,0.95,,,,,,,,,,5,,3,,10.1002_adsc.200600583,10.1002_adsc.200600583,
6,3,2-hydroxybenzaldehyde,0.3,bicyclo[2.2.1]hept-2-ene,1.8,"((1S,2S,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxyphenyl)methanone","((1S,2R,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,,,,,,,,,,,TRUE,[Rh(nbd)2BF4],"1,1'-Bis(diphenylphosphino)ferrocene",Rh,1,0,,2,"P,P",,,,,,,,,,115,80,,,,,95:5,,,,,,,,,,,5,,1,,10.1002_adsc.200600583,10.1002_adsc.200600583,
7,3,2-hydroxybenzaldehyde,0.3,bicyclo[2.2.1]hept-2-ene,1.8,"((1S,2S,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxyphenyl)methanone","((1S,2R,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,,,,,,,,,,,TRUE,[Rh(acac)(C2H4)2],"1,1'-Bis(diphenylphosphino)ferrocene",Rh,0,0,,2,"P,P",,,,,,,,,,115,80,,,,,99:1,0.57,,,,,,,,,,5,,1,,10.1002_adsc.200600583,10.1002_adsc.200600583,
8,3,2-hydroxybenzaldehyde,0.3,bicyclo[2.2.1]hept-2-ene,1.8,"((1S,2S,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxyphenyl)methanone","((1S,2R,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,K3PO4,0.06,,,,,,,,,TRUE,[Rh(acac)(C2H4)2],"dicyclohexyl(2',6'-dimethoxy-[1,1'-biphenyl]-2-yl)phosphane",Rh,0,0,,2,"P,P",,,,,,,,,,62,80,,,,,95:5,0.34,,,,,,,,,,5,,3,,10.1002_adsc.200600583,10.1002_adsc.200600583,
9,3,2-hydroxybenzaldehyde,0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone","((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,K3PO4,0.06,,,,,,,,,TRUE,[Rh(nbd)2BF4],"1,1'-Bis(diphenylphosphino)ferrocene",Rh,1,0,,2,"P,P",,,,,,,,,,70,80,,,,,77:23,0.65,,,,,,,,,,5,,1,,10.1002_adsc.200600583,10.1002_adsc.200600583,
10,3,2-hydroxybenzaldehyde,0.3,"bicyclo[2.2.1]hepta-2,5-diene",1.8,"((1R,2S,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone","((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",,S,R,,"1,2-Dichloroethane",,,2,,,,,,,,,,,,TRUE,[Rh(acac)(C2H4)2],"1,1'-Bis(diphenylphosphino)ferrocene",Rh,0,0,,2,"P,P",,,,,,,,,,47,80,,,,,70:30,0.97,,,,,,,,,,5,,1,,10.1002_adsc.200600583,10.1002_adsc.200600583,
