Unnamed: 0,Reactant SMILES,Reactant SMILES_2,Product SMILES,Product SMILES_2,Catalyst SMILES,Ligand SMILES,Solvent SMILES,Solvent SMILES_2,Additive SMILES,Additive SMILES_2,Additive SMILES_s2,ee 3,Pre catalyst 2(True or False),Type of Coordination Atoms 2,Additive 2 step 2,L/M 1,Yield 1,Central Metal of Catalyst 2,exo/endo,S/C 2,Valence of Central Metal 1,Ammount of additive 2 step 2,dr 2,Product 3 R or S,"Other information(use ""-"" to split, eg. 'property1-property2')",Reaction ID,Additive 1 step 2,Reaction Temperature/C step 2,Product Name 2,Reaction Temperature/C,pdf name (don't include '.pdf'),Solvent 1 ammount(mL),dr 1,S/C 1,Ligand 2 Type,Type of Coordination Atoms 1,Reaction Time/h,Number of Coordination Atoms 1,Solvent 2,Ammount of additive 1,LED,Number of Coordination Atoms 2,LED step 2,Reaction Type,Ammount of reactant 2(mmol),Ref.(DOI),Yield 3,"Molecular Sieve(3A, 4A, 5A)",Solvent Ratio,Yield 2,Product 2 R or S,Ammount of additive 2,dr 3,L/M 2,Charge of Ligand 2,Ammount of reactant 1(mmol),Pressure/atm,Solvent 2 ammount(mL),ee 1,Valence of Central Metal 2,Pre catalyst 1(True or False),Central Metal of Catalyst 1,Ligand Name 2,Reactant Name 2,Ligand 1 Type,Additive 2,Product Name 3,(Pre)Catalyst Name 2,Ammount of additive 1 step 2,ee 2,Reaction Time/h step 2,Ammount of Molecular Sieve(mg),Charge of Ligand 1,Product 1 R or S
0,O=Cc1ccccc1O,C1=CC2CCC1C2,O=C(c1ccccc1O)[C@H]1C[C@@H]2CC[C@H]1C2,O=C(c1ccccc1O)[C@@H]1C[C@@H]2CC[C@H]1C2,C=C.C=C.C=C.C=C.Cl[Rh][Rh]Cl,c1ccc(P(c2ccccc2)c2ccccc2)cc1,ClCCCl,,,,,,,,,6.0,0.4,,98:2,,1.0,,,,,1,,,"((1S,2R,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxyphenyl)methanone",80,10.1002_adsc.200600583,2,,5,,"P,P",62.0,2.0,,,,,,3,1.8,10.1002_adsc.200600583,,,,,R,,,,,0.3,,,,,True,Rh,,bicyclo[2.2.1]hept-2-ene,,,,,,,,,0.0,S
1,O=Cc1ccccc1O,C1=CC2CCC1C2,O=C(c1ccccc1O)[C@H]1C[C@@H]2CC[C@H]1C2,O=C(c1ccccc1O)[C@@H]1C[C@@H]2CC[C@H]1C2,C=C.C=C.C=C.C=C.Cl[Rh][Rh]Cl,C1=CC([Fe][C@@H]2C=CC=C2P(c2ccccc2)c2ccccc2)C(P(c2ccccc2)c2ccccc2)=C1,ClCCCl,,,,,,,,,2.0,,,,,1.0,,,,,2,,,"((1S,2R,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxyphenyl)methanone",80,10.1002_adsc.200600583,2,,10,,"P,P",115.0,2.0,,,,,,3,1.8,10.1002_adsc.200600583,,,,,R,,,,,0.3,,,,,True,Rh,,bicyclo[2.2.1]hept-2-ene,,,,,,,,,0.0,S
2,O=Cc1ccccc1O,C1=CC2CCC1C2,O=C(c1ccccc1O)[C@H]1C[C@@H]2CC[C@H]1C2,O=C(c1ccccc1O)[C@@H]1C[C@@H]2CC[C@H]1C2,C=C.C=C.C=C.C=C.Cl[Rh][Rh]Cl,C1=CC([Fe][C@@H]2C=CC=C2P(c2ccccc2)c2ccccc2)C(P(c2ccccc2)c2ccccc2)=C1,ClCCCl,,[Ag+].[O-][Cl+3]([O-])([O-])[O-],,,,,,,2.0,,,95:5,,1.0,,,,,3,,,"((1S,2R,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxyphenyl)methanone",80,10.1002_adsc.200600583,2,,5,,"P,P",115.0,2.0,,0.06,,,,3,1.8,10.1002_adsc.200600583,,,,,R,,,,,0.3,,,,,True,Rh,,bicyclo[2.2.1]hept-2-ene,,,,,,,,,0.0,S
3,O=Cc1ccccc1O,C1=CC2CCC1C2,O=C(c1ccccc1O)[C@H]1C[C@@H]2CC[C@H]1C2,O=C(c1ccccc1O)[C@@H]1C[C@@H]2CC[C@H]1C2,C=C.C=C.C=C.C=C.Cl[Rh][Rh]Cl,c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1.c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,ClCCCl,,[Ag+].[O-][Cl+3]([O-])([O-])[O-],,,,,,,2.0,,,,,1.0,,,,,4,,,"((1S,2R,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxyphenyl)methanone",80,10.1002_adsc.200600583,2,,5,,"P,P",37.0,2.0,,0.06,,,,3,1.8,10.1002_adsc.200600583,,,,,R,,,,,0.3,,,,,True,Rh,,bicyclo[2.2.1]hept-2-ene,,,,,,,,,0.0,S
4,O=Cc1ccccc1O,C1=CC2CCC1C2,O=C(c1ccccc1O)[C@H]1C[C@@H]2CC[C@H]1C2,O=C(c1ccccc1O)[C@@H]1C[C@@H]2CC[C@H]1C2,C1=CC2C=CC1C2.C1=CC2C=CC1C2.FB(F)F.[F-].[Rh+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,ClCCCl,,,,,,,,,3.0,0.95,,97:3,,1.0,,,,,5,,,"((1S,2R,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxyphenyl)methanone",80,10.1002_adsc.200600583,2,,5,,"P,P",115.0,2.0,,,,,,3,1.8,10.1002_adsc.200600583,,,,,R,,,,,0.3,,,,,True,Rh,,bicyclo[2.2.1]hept-2-ene,,,,,,,,,0.0,S
5,O=Cc1ccccc1O,C1=CC2CCC1C2,O=C(c1ccccc1O)[C@H]1C[C@@H]2CC[C@H]1C2,O=C(c1ccccc1O)[C@@H]1C[C@@H]2CC[C@H]1C2,C1=CC2C=CC1C2.C1=CC2C=CC1C2.FB(F)F.[F-].[Rh+],C1=CC([Fe][C@@H]2C=CC=C2P(c2ccccc2)c2ccccc2)C(P(c2ccccc2)c2ccccc2)=C1,ClCCCl,,,,,,,,,1.0,,,95:5,,1.0,,,,,6,,,"((1S,2R,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxyphenyl)methanone",80,10.1002_adsc.200600583,2,,5,,"P,P",115.0,2.0,,,,,,3,1.8,10.1002_adsc.200600583,,,,,R,,,,,0.3,,,,,True,Rh,,bicyclo[2.2.1]hept-2-ene,,,,,,,,,0.0,S
6,O=Cc1ccccc1O,C1=CC2CCC1C2,O=C(c1ccccc1O)[C@H]1C[C@@H]2CC[C@H]1C2,O=C(c1ccccc1O)[C@@H]1C[C@@H]2CC[C@H]1C2,C=C.C=C.CC1=[O+][Rh-2][O+]=C(C)C1,C1=CC([Fe][C@@H]2C=CC=C2P(c2ccccc2)c2ccccc2)C(P(c2ccccc2)c2ccccc2)=C1,ClCCCl,,,,,,,,,1.0,0.57,,99:1,,0.0,,,,,7,,,"((1S,2R,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxyphenyl)methanone",80,10.1002_adsc.200600583,2,,5,,"P,P",115.0,2.0,,,,,,3,1.8,10.1002_adsc.200600583,,,,,R,,,,,0.3,,,,,True,Rh,,bicyclo[2.2.1]hept-2-ene,,,,,,,,,0.0,S
7,O=Cc1ccccc1O,C1=CC2CCC1C2,O=C(c1ccccc1O)[C@H]1C[C@@H]2CC[C@H]1C2,O=C(c1ccccc1O)[C@@H]1C[C@@H]2CC[C@H]1C2,C=C.C=C.CC1=[O+][Rh-2][O+]=C(C)C1,COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,ClCCCl,,O=P([O-])([O-])[O-].[K+].[K+].[K+].[K+].[K+].[K+],,,,,,,3.0,0.34,,95:5,,0.0,,,,,8,,,"((1S,2R,4R)-bicyclo[2.2.1]heptan-2-yl)(2-hydroxyphenyl)methanone",80,10.1002_adsc.200600583,2,,5,,"P,P",62.0,2.0,,0.06,,,,3,1.8,10.1002_adsc.200600583,,,,,R,,,,,0.3,,,,,True,Rh,,bicyclo[2.2.1]hept-2-ene,,,,,,,,,0.0,S
8,O=Cc1ccccc1O,C1=CC2C=CC1C2,O=C(c1ccccc1O)[C@H]1C[C@@H]2C=C[C@H]1C2,O=C(c1ccccc1O)[C@@H]1C[C@@H]2C=C[C@H]1C2,C1=CC2C=CC1C2.C1=CC2C=CC1C2.FB(F)F.[F-].[Rh+],C1=CC([Fe][C@@H]2C=CC=C2P(c2ccccc2)c2ccccc2)C(P(c2ccccc2)c2ccccc2)=C1,ClCCCl,,O=P([O-])([O-])[O-].[K+].[K+].[K+].[K+].[K+].[K+],,,,,,,1.0,0.65,,77:23,,1.0,,,,,9,,,"((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",80,10.1002_adsc.200600583,2,,5,,"P,P",70.0,2.0,,0.06,,,,3,1.8,10.1002_adsc.200600583,,,,,R,,,,,0.3,,,,,True,Rh,,"bicyclo[2.2.1]hepta-2,5-diene",,,,,,,,,0.0,S
9,O=Cc1ccccc1O,C1=CC2C=CC1C2,O=C(c1ccccc1O)[C@H]1C[C@@H]2C=C[C@H]1C2,O=C(c1ccccc1O)[C@@H]1C[C@@H]2C=C[C@H]1C2,C=C.C=C.CC1=[O+][Rh-2][O+]=C(C)C1,C1=CC([Fe][C@@H]2C=CC=C2P(c2ccccc2)c2ccccc2)C(P(c2ccccc2)c2ccccc2)=C1,ClCCCl,,,,,,,,,1.0,0.97,,70:30,,0.0,,,,,10,,,"((1R,2R,4R)-bicyclo[2.2.1]hept-5-en-2-yl)(2-hydroxyphenyl)methanone",80,10.1002_adsc.200600583,2,,5,,"P,P",47.0,2.0,,,,,,3,1.8,10.1002_adsc.200600583,,,,,R,,,,,0.3,,,,,True,Rh,,"bicyclo[2.2.1]hepta-2,5-diene",,,,,,,,,0.0,S
