Reaction ID,Reaction Type,Reactant Name 1,Ammount of reactant 1(mmol),Reactant Name 2,Ammount of reactant 2(mmol),Product Name 1,Product Name 2,Product Name 3,Product 1 R or S,Product 2 R or S,Product 3 R or S,Solvent 1,Solvent 2,Solvent Ratio,Solvent 1 ammount(mL),Solvent 2 ammount(mL),Additive 1,Ammount of additive 1,Additive 2,Ammount of additive 2,Additive 1 step 2,Ammount of additive 1 step 2,Additive 2 step 2,Ammount of additive 2 step 2,"Molecular Sieve(3A, 4A, 5A)",Ammount of Molecular Sieve(mg),Pre catalyst 1(True or False),(Pre)Catalyst Name 1,Ligand Name 1,Central Metal of Catalyst 1,Valence of Central Metal 1,Charge of Ligand 1,Ligand 1 Type,Number of Coordination Atoms 1,Type of Coordination Atoms 1,Pre catalyst 2(True or False),(Pre)Catalyst Name 2,Ligand Name 2,Central Metal of Catalyst 2,Valence of Central Metal 2,Charge of Ligand 2,Ligand 2 Type,Number of Coordination Atoms 2,Type of Coordination Atoms 2,Reaction Time/h,Reaction Temperature/C,LED,Reaction Time/h step 2,Reaction Temperature/C step 2,LED step 2,Yield 1,ee 1,Yield 2,ee 2,Yield 3,ee 3,dr 1,dr 2,dr 3,Pressure/atm,S/C 1,S/C 2,L/M 1,L/M 2,Ref.(DOI),pdf name (don't include '.pdf'),"Other information(use ""-"" to split, eg. 'property1-property2')"
1,1,3-phenylpropanal,0.4,MeNO2,4,(S)-4-nitro-3-phenylbutanal,,,S,,,THF,MeOH,,1.6,0.8,DDQ,0.4,,,benzoic acid,0.96,,,,,FALSE,(S)-2-(diphenyl((trimethylsilyl)oxy)methyl)pyrrolidine,,,0,,,,,,,,,,,,,,6,25,,48,25,,0.05,,,,,,,,,,5,,,,10.1002_adsc.201300919,10.1002_adsc.201300919,
2,1,3-phenylpropanal,0.4,MeNO2,4,(S)-4-nitro-3-phenylbutanal,,,S,,,THF,MeOH,,1.6,0.8,DDQ,0.4,,,4-nitrophenol,0.96,,,,,FALSE,(S)-2-(diphenyl((trimethylsilyl)oxy)methyl)pyrrolidine,,,0,,,,,,,,,,,,,,6,25,,48,25,,0.05,,,,,,,,,,5,,,,10.1002_adsc.201300919,10.1002_adsc.201300919,
3,1,3-phenylpropanal,0.4,MeNO2,4,(S)-4-nitro-3-phenylbutanal,,,S,,,THF,MeOH,,1.6,0.8,DDQ,0.4,,,KH2PO4,0.96,,,,,FALSE,(S)-2-(diphenyl((trimethylsilyl)oxy)methyl)pyrrolidine,,,0,,,,,,,,,,,,,,6,25,,48,25,,0.05,,,,,,,,,,5,,,,10.1002_adsc.201300919,10.1002_adsc.201300919,
4,1,3-phenylpropanal,0.4,MeNO2,4,(S)-4-nitro-3-phenylbutanal,,,S,,,THF,MeOH,,1.6,0.8,DDQ,0.4,,,Na2HPO4,0.96,,,,,FALSE,(S)-2-(diphenyl((trimethylsilyl)oxy)methyl)pyrrolidine,,,0,,,,,,,,,,,,,,6,25,,48,25,,0.36,0.93,,,,,,,,,5,,,,10.1002_adsc.201300919,10.1002_adsc.201300919,
5,1,3-phenylpropanal,0.4,MeNO2,4,(S)-4-nitro-3-phenylbutanal,,,S,,,THF,MeOH,,1.6,0.8,DDQ,0.4,,,NaHCO3,0.96,,,,,FALSE,(S)-2-(diphenyl((trimethylsilyl)oxy)methyl)pyrrolidine,,,0,,,,,,,,,,,,,,6,25,,48,25,,0.38,0.9,,,,,,,,,5,,,,10.1002_adsc.201300919,10.1002_adsc.201300919,
6,1,3-phenylpropanal,0.4,MeNO2,4,(S)-4-nitro-3-phenylbutanal,,,S,,,THF,MeOH,,1.6,0.8,DDQ,0.4,,,Et3N,0.96,,,,,FALSE,(S)-2-(diphenyl((trimethylsilyl)oxy)methyl)pyrrolidine,,,0,,,,,,,,,,,,,,6,25,,48,25,,0.5,0.85,,,,,,,,,5,,,,10.1002_adsc.201300919,10.1002_adsc.201300919,
7,1,3-phenylpropanal,0.4,MeNO2,4,(S)-4-nitro-3-phenylbutanal,,,S,,,THF,MeOH,,1.6,0.8,DDQ,0.4,,,AcONH4,0.96,,,,,FALSE,(S)-2-(diphenyl((trimethylsilyl)oxy)methyl)pyrrolidine,,,0,,,,,,,,,,,,,,6,25,,48,25,,0.36,0.92,,,,,,,,,5,,,,10.1002_adsc.201300919,10.1002_adsc.201300919,
8,1,3-phenylpropanal,0.4,MeNO2,4,(S)-4-nitro-3-phenylbutanal,,,S,,,THF,MeOH,,1.6,0.8,DDQ,0.4,,,AcOLi,0.96,,,,,FALSE,(S)-2-(diphenyl((trimethylsilyl)oxy)methyl)pyrrolidine,,,0,,,,,,,,,,,,,,6,25,,24,25,,0.53,0.94,,,,,,,,,5,,,,10.1002_adsc.201300919,10.1002_adsc.201300919,
9,1,3-phenylpropanal,0.4,MeNO2,4,(S)-4-nitro-3-phenylbutanal,,,S,,,THF,MeOH,,1.6,0.8,DDQ,0.4,,,AcONa,0.96,,,,,FALSE,(S)-2-(diphenyl((trimethylsilyl)oxy)methyl)pyrrolidine,,,0,,,,,,,,,,,,,,6,25,,24,25,,0.76,0.92,,,,,,,,,5,,,,10.1002_adsc.201300919,10.1002_adsc.201300919,
10,1,3-phenylpropanal,0.4,MeNO2,4,(S)-4-nitro-3-phenylbutanal,,,S,,,THF,MeOH,,1.6,0.8,DDQ,0.04,MnO2,0.8,AcONa,0.096,,,,,FALSE,(S)-2-(diphenyl((trimethylsilyl)oxy)methyl)pyrrolidine,,,0,,,,,,,,,,,,,,6,25,,24,25,,0.73,0.95,,,,,,,,,5,,,,10.1002_adsc.201300919,10.1002_adsc.201300919,
