,Reactant SMILES,Reactant SMILES_2,Product SMILES,Product SMILES_2,Catalyst SMILES,Ligand SMILES,Solvent SMILES,Solvent SMILES_2,Additive SMILES,Additive SMILES_2,Additive SMILES_s2,Ref.(DOI),LED step 2,Number of Coordination Atoms 1,pdf name (don't include '.pdf'),L/M 1,S/C 1,Reaction Temperature/C step 2,Reaction Temperature/C,Ligand Name 2,Yield 3,dr 3,Central Metal of Catalyst 2,dr 1,Ligand 2 Type,Product Name 3,Additive 2 step 2,Ammount of additive 1,Product 1 R or S,ee 3,Ammount of additive 2,(Pre)Catalyst Name 2,"Molecular Sieve(3A, 4A, 5A)",Yield 1,Solvent 1 ammount(mL),Charge of Ligand 1,Charge of Ligand 2,Ammount of additive 1 step 2,Central Metal of Catalyst 1,Ligand 1 Type,Pre catalyst 2(True or False),Ammount of reactant 1(mmol),Ammount of Molecular Sieve(mg),Reaction Time/h,LED,Pre catalyst 1(True or False),dr 2,Reaction ID,Yield 2,Valence of Central Metal 1,"Other information(use ""-"" to split, eg. 'property1-property2')",Product 2 R or S,Solvent 2 ammount(mL),Type of Coordination Atoms 1,L/M 2,Pressure/atm,Number of Coordination Atoms 2,Valence of Central Metal 2,Type of Coordination Atoms 2,Reaction Time/h step 2,ee 1,S/C 2,Ammount of additive 2 step 2,ee 2,Reaction Type,Product 3 R or S,Solvent Ratio,Ammount of reactant 2(mmol)
0,OC1(C(C=CC=C2)=C2C(N1)=O)C3=CC=CC=C3,C=C(C)C#C[Si](C)(C(C)(C)C)C,O=C(N1)C2=C(C=CC=C2)[C@@]1(C[C@]3(C)C#C[Si](C)(C(C)(C)C)C)C4=C3C=CC=C4,,C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+].[Cl-].[Ir+].[Cl-],,CC1=CC=CC=C1,,N1(CC2)CCN2CC1,FC(C1=CC(C(F)(F)F)=CC([B-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=C1)(F)F.[Na+],,10.1002_adsc.201701378,,,10.1002_adsc.201701378,,20,,80,,,,,,,,,0.005,"1R,3S",,0.01,,,0.87,0.4,,,,Ir,,,0.1,,20,,False,,1,,1,,,,,,,,,,,,,,,1,,,0.15
1,OC1(C(C=CC=C2)=C2C(N1)=O)C3=CC=CC=C3,C=C(C)C#C[Si](C)(C1=CC=CC=C1)C,O=C(N1)C2=C(C=CC=C2)[C@@]1(C[C@]3(C)C#C[Si](C)(C4=CC=CC=C4)C)C5=C3C=CC=C5,,C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+].[Cl-].[Ir+].[Cl-],,CC1=CC=CC=C1,,N1(CC2)CCN2CC1,FC(C1=CC(C(F)(F)F)=CC([B-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=C1)(F)F.[Na+],,10.1002_adsc.201701378,,,10.1002_adsc.201701378,,20,,80,,,,,,,,,0.005,"1R,3S",,0.01,,,0.03,0.4,,,,Ir,,,0.1,,20,,False,,2,,1,,,,,,,,,,,,,,,1,,,0.15
2,OC1(C(C=CC=C2)=C2C(N1)=O)C3=CC=CC=C3,C=C(C)C#C[Si](C(C)C)(C(C)C)C(C)C,O=C(N1)C2=C(C=CC=C2)[C@@]1(C[C@]3(C)C#C[Si](C(C)C)(C(C)C)C(C)C)C4=C3C=CC=C4,,C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+].[Cl-].[Ir+].[Cl-],,CC1=CC=CC=C1,,N1(CC2)CCN2CC1,FC(C1=CC(C(F)(F)F)=CC([B-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=C1)(F)F.[Na+],,10.1002_adsc.201701378,,,10.1002_adsc.201701378,,20,,80,,,,,,,,,0.005,"1R,3S",,0.01,,,0.0,0.4,,,,Ir,,,0.1,,20,,False,,3,,1,,,,,,,,,,,,,,,1,,,0.15
3,OC1(C(C=CC=C2)=C2C(N1)=O)C3=CC=CC=C3,C=C(C)C#CC1=CC=C(C)C=C1,O=C(N1)C2=C(C=CC=C2)[C@@]1(C[C@]3(C)C#CC4=CC=C(C)C=C4)C5=C3C=CC=C5,O=C(N1)C2=C(C=CC=C2)C1(C(C(C)=C)=C3C4=CC=C(C)C=C4)C5=C3C=CC=C5,C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+].[Cl-].[Ir+].[Cl-],,CC1=CC=CC=C1,,N1(CC2)CCN2CC1,FC(C1=CC(C(F)(F)F)=CC([B-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=C1)(F)F.[Na+],,10.1002_adsc.201701378,,,10.1002_adsc.201701378,,20,,80,,,,,,,,,0.005,"1R,3R",,0.01,,,0.03,0.4,,,,Ir,,,0.1,,20,,False,,4,0.3,1,,,,,,,,,,,,,,,1,,,0.15
4,OC1(C(C=CC=C2)=C2C(N1)=O)C3=CC=CC=C3,C=C(C)C#C[H],O=C(N1)C2=C(C=CC=C2)[C@@]1(C[C@]3(C)C#C[H])C4=C3C=CC=C4,,C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+].[Cl-].[Ir+].[Cl-],,CC1=CC=CC=C1,,N1(CC2)CCN2CC1,FC(C1=CC(C(F)(F)F)=CC([B-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=C1)(F)F.[Na+],,10.1002_adsc.201701378,,,10.1002_adsc.201701378,,20,,80,,,,,,,,,0.005,"1R,3R",,0.01,,,0.0,0.4,,,,Ir,,,0.1,,20,,False,,5,,1,,,,,,,,,,,,,,,1,,,0.15
5,OC1(C(C=CC=C2)=C2C(N1)=O)C3=CC=CC=C3,C=C(C)C#C[Si](C)(C(C)(C)C)C,O=C(N1)C2=C(C=CC=C2)[C@@]1(C[C@]3(C)C#C[Si](C)(C(C)(C)C)C)C4=C3C=CC=C4,,C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Ir+].[Cl-].[Ir+].[Cl-],,CC1=CC=CC=C1,,N1(CC2)CCN2CC1,FC(C1=CC(C(F)(F)F)=CC([B-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=C1)(F)F.[Na+],,10.1002_adsc.201701378,,,10.1002_adsc.201701378,,20,,80,,,,,,,,,0.005,"1R,3S",,0.01,,,0.0,0.4,,,,Ir,,,0.1,,20,,False,,6,,1,,,,,,,,,,,,,,,1,,,0.15
6,OC1(C(C=CC=C2)=C2C(N1)=O)C3=CC=CC=C3,C=C(C)C#C[Si](C)(C(C)(C)C)C,O=C(N1)C2=C(C=CC=C2)[C@@]1(C[C@]3(C)C#C[Si](C)(C(C)(C)C)C)C4=C3C=CC=C4,,FC1=C(F)C2=C([C@H]3C=C(C)[C@@H]2C=C3C)C(F)=C1F.FC4=C(F)C5=C([C@H]6C=C(C)[C@@H]5C=C6C)C(F)=C4F.[Ir+].[Cl-].[Ir+].[Cl-],,CC1=CC=CC=C1,,N1(CC2)CCN2CC1,FC(C1=CC(C(F)(F)F)=CC([B-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=C1)(F)F.[Na+],,10.1002_adsc.201701378,,"π,π,Cl,Ir",10.1002_adsc.201701378,,20,,80,,,,,,,,,0.005,"1R,3S",,0.01,,,0.92,0.4,,,,Ir,2.0,,0.1,,48,,False,,7,,1,,,,,,,,,,,0.995,,,,1,,,0.15
7,OC1(C(C=CC=C2)=C2C(N1)=O)C3=CC=CC=C3,C=C(C)C#C[Si](C)(C(C)(C)C)C,O=C(N1)C2=C(C=CC=C2)[C@@]1(C[C@]3(C)C#C[Si](C)(C(C)(C)C)C)C4=C3C=CC=C4,,FC1=C(F)C2=C([C@H]3C(C4=CC=C[C@H]4[Fe]C5C=CC=C5)=C[C@@H]2C(C6=CC=CC6[Fe]C7C=CC=C7)=C3)C(F)=C1F.FC8=C(F)C9=C([C@H]%10C(C%11=CC=C[C@H]%11[Fe]C%12C=CC=C%12)=C[C@@H]9C(C%13=CC=CC%13[Fe]C)=C%10)C(F)=C8F.[Ir+].[Cl-].[Ir+].[Cl-].C%14=CCC=C%14,,CC1=CC=CC=C1,,N1(CC2)CCN2CC1,FC(C1=CC(C(F)(F)F)=CC([B-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=C1)(F)F.[Na+],,10.1002_adsc.201701378,,"π,π,Cl,Ir",10.1002_adsc.201701378,,20,,80,,,,,,,,,0.005,"1R,3S",,0.01,,,0.12,0.4,,,,Ir,2.0,,0.1,,20,,False,,8,,1,,,,,,,,,,,0.58,,,,1,,,0.15
8,OC1(C(C=CC=C2)=C2C(N1)=O)C3=CC=CC=C3,C=C(C)C#C[Si](C)(C(C)(C)C)C,O=C(N1)C2=C(C=CC=C2)[C@@]1(C[C@]3(C)C#C[Si](C)(C(C)(C)C)C)C4=C3C=CC=C4,,C12=C(C=CC=C2)C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=[C@]1[C@]5=C(P(C6=CC=CC=C6)C7=CC=CC=C7)C=CC8=C5C=CC=C8.C9=C\CCCCCC/9.[Ir+].[Cl-].C%10=C\CCCCCC/%10.C%11=C\CCCCCC/%11.[Ir+].[Cl-].C%12=C\CCCCCC/%12,,CC1=CC=CC=C1,,N1(CC2)CCN2CC1,FC(C1=CC(C(F)(F)F)=CC([B-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=C1)(F)F.[Na+],,10.1002_adsc.201701378,,"π,π,P,P",10.1002_adsc.201701378,,20,,80,,,,,,,,,0.005,"1R,3S",,0.01,,,0.0,0.4,,,,Ir,2.0,,0.1,,20,,False,,9,,1,,,,,,,,,,,,,,,1,,,0.15
9,OC1(C(C=CC=C2)=C2C(N1)=O)C3=CC=CC=C3,C=C(C)C#C[Si](C)(C(C)(C)C)C,O=C(N1)C2=C(C=CC=C2)[C@@]1(C[C@]3(C)C#C[Si](C)(C(C)(C)C)C)C4=C3C=CC=C4,,C1C/C=C\CC/C=C\1.C2C/C=C\CC/C=C\2.[Cl-].[Rh+].[Cl-].[Rh+],,CC1=CC=CC=C1,,N1(CC2)CCN2CC1,FC(C1=CC(C(F)(F)F)=CC([B-](C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=C1)(F)F.[Na+],,10.1002_adsc.201701378,,,10.1002_adsc.201701378,,20,,80,,,,,,,,,0.005,"1R,3S",,0.01,,,0.0,0.4,,,,Rh,,,0.1,,20,,False,,10,,1,,,,,,,,,,,,,,,1,,,0.15
