Unnamed: 0,Reactant SMILES,Reactant SMILES_2,Product SMILES,Product SMILES_2,Catalyst SMILES,Ligand SMILES,Solvent SMILES,Solvent SMILES_2,Additive SMILES,Additive SMILES_2,Additive SMILES_s2,Yield 2,ee 3,Product 2 R or S,Pre catalyst 2(True or False),Ammount of additive 2,dr 3,Type of Coordination Atoms 2,Additive 2 step 2,L/M 1,L/M 2,Yield 1,Charge of Ligand 2,Ammount of reactant 1(mmol),Central Metal of Catalyst 2,Solvent Ratio,Pressure/atm,S/C 2,Solvent 2 ammount(mL),Valence of Central Metal 1,ee 1,Valence of Central Metal 2,Pre catalyst 1(True or False),Central Metal of Catalyst 1,Ligand Name 2,Ammount of additive 2 step 2,dr 2,Product 3 R or S,"Other information(use ""-"" to split, eg. 'property1-property2')",Reactant Name 2,Ligand 1 Type,Reaction ID,Additive 2,Additive 1 step 2,Reaction Temperature/C step 2,Product Name 2,Product Name 3,Reaction Temperature/C,(Pre)Catalyst Name 2,pdf name (don't include '.pdf'),Solvent 1 ammount(mL),dr 1,S/C 1,Ligand 2 Type,Type of Coordination Atoms 1,Ammount of additive 1 step 2,Reaction Time/h,Number of Coordination Atoms 1,Solvent 2,Ammount of additive 1,ee 2,Ammount of reactant 2(mmol),Reaction Time/h step 2,Product 1 R or S,LED,Number of Coordination Atoms 2,LED step 2,Ammount of Molecular Sieve(mg),Charge of Ligand 1,Reaction Type,Ref.(DOI),Yield 3,"Molecular Sieve(3A, 4A, 5A)"
0,O=C1NC(O)(c2ccccc2)c2ccccc21,C=C(C)C#C[Si](C)(C)C(C)(C)C,CC(C)(C)[Si](C)(C)C#C[C@@]1(C)C[C@@]2(NC(=O)c3ccccc32)c2ccccc21,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Cl-].[Cl-].[Ir+].[Ir+],,Cc1ccccc1,,C1CN2CCN1CC2,FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1.[Na+],,,,,,0.01,,,,,,0.87,,0.1,,,,,,1,,,False,Ir,,,,,,tert-butyldimethyl(3-methylbut-3-en-1-yn-1-yl)silane,,1,NaBARF,,,,,80,,10.1002_adsc.201701378,0.4,,20,,,,20,,,0.005,,0.15,,"1R,3S",,,,,,1,10.1002_adsc.201701378,,
1,O=C1NC(O)(c2ccccc2)c2ccccc21,C=C(C)C#C[Si](C)(C)c1ccccc1,C[C@]1(C#C[Si](C)(C)c2ccccc2)C[C@@]2(NC(=O)c3ccccc32)c2ccccc21,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Cl-].[Cl-].[Ir+].[Ir+],,Cc1ccccc1,,C1CN2CCN1CC2,FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1.[Na+],,,,,,0.01,,,,,,0.03,,0.1,,,,,,1,,,False,Ir,,,,,,dimethyl(3-methylbut-3-en-1-yn-1-yl)(phenyl)silane,,2,NaBARF,,,,,80,,10.1002_adsc.201701378,0.4,,20,,,,20,,,0.005,,0.15,,"1R,3S",,,,,,1,10.1002_adsc.201701378,,
2,O=C1NC(O)(c2ccccc2)c2ccccc21,C=C(C)C#C[Si](C(C)C)(C(C)C)C(C)C,CC(C)[Si](C#C[C@@]1(C)C[C@@]2(NC(=O)c3ccccc32)c2ccccc21)(C(C)C)C(C)C,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Cl-].[Cl-].[Ir+].[Ir+],,Cc1ccccc1,,C1CN2CCN1CC2,FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1.[Na+],,,,,,0.01,,,,,,0.0,,0.1,,,,,,1,,,False,Ir,,,,,,triisopropyl(3-methylbut-3-en-1-yn-1-yl)silane,,3,NaBARF,,,,,80,,10.1002_adsc.201701378,0.4,,20,,,,20,,,0.005,,0.15,,"1R,3S",,,,,,1,10.1002_adsc.201701378,,
3,O=C1NC(O)(c2ccccc2)c2ccccc21,C=C(C)C#Cc1ccc(C)cc1,Cc1ccc(C#C[C@@]2(C)C[C@@]3(NC(=O)c4ccccc43)c3ccccc32)cc1,C=C(C)C1=C(c2ccc(C)cc2)c2ccccc2C12NC(=O)c1ccccc12,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Cl-].[Cl-].[Ir+].[Ir+],,Cc1ccccc1,,C1CN2CCN1CC2,FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1.[Na+],,0.3,,,,0.01,,,,,,0.03,,0.1,,,,,,1,,,False,Ir,,,,,,1-methyl-4-(3-methylbut-3-en-1-yn-1-yl)benzene,,4,NaBARF,,,"2-(prop-1-en-2-yl)-3-(p-tolyl)spiro[indene-1,1'-isoindolin]-3'-one",,80,,10.1002_adsc.201701378,0.4,,20,,,,20,,,0.005,,0.15,,"1R,3R",,,,,,1,10.1002_adsc.201701378,,
4,O=C1NC(O)(c2ccccc2)c2ccccc21,C#CC(=C)C,C#C[C@@]1(C)C[C@@]2(NC(=O)c3ccccc32)c2ccccc21,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Cl-].[Cl-].[Ir+].[Ir+],,Cc1ccccc1,,C1CN2CCN1CC2,FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1.[Na+],,,,,,0.01,,,,,,0.0,,0.1,,,,,,1,,,False,Ir,,,,,,2-methylbut-1-en-3-yne,,5,NaBARF,,,,,80,,10.1002_adsc.201701378,0.4,,20,,,,20,,,0.005,,0.15,,"1R,3R",,,,,,1,10.1002_adsc.201701378,,
5,O=C1NC(O)(c2ccccc2)c2ccccc21,C=C(C)C#C[Si](C)(C)C(C)(C)C,CC(C)(C)[Si](C)(C)C#C[C@@]1(C)C[C@@]2(NC(=O)c3ccccc32)c2ccccc21,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Cl-].[Cl-].[Ir+].[Ir+],,Cc1ccccc1,,C1CN2CCN1CC2,FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1.[Na+],,,,,,0.01,,,,,,0.0,,0.1,,,,,,1,,,False,Ir,,,,,,tert-butyldimethyl(3-methylbut-3-en-1-yn-1-yl)silane,,6,NaBARF,,,,,80,,10.1002_adsc.201701378,0.4,,20,,,,20,,,0.005,,0.15,,"1R,3S",,,,,,1,10.1002_adsc.201701378,,
6,O=C1NC(O)(c2ccccc2)c2ccccc21,C=C(C)C#C[Si](C)(C)C(C)(C)C,CC(C)(C)[Si](C)(C)C#C[C@@]1(C)C[C@@]2(NC(=O)c3ccccc32)c2ccccc21,,CC1=C[C@H]2C(C)=C[C@@H]1c1c(F)c(F)c(F)c(F)c12.CC1=C[C@H]2C(C)=C[C@@H]1c1c(F)c(F)c(F)c(F)c12.[Cl-].[Cl-].[Ir+].[Ir+],,Cc1ccccc1,,C1CN2CCN1CC2,FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1.[Na+],,,,,,0.01,,,,,,0.92,,0.1,,,,,,1,0.995,,False,Ir,,,,,,tert-butyldimethyl(3-methylbut-3-en-1-yn-1-yl)silane,2.0,7,NaBARF,,,,,80,,10.1002_adsc.201701378,0.4,,20,,,,48,"π,π,Cl,Ir",,0.005,,0.15,,"1R,3S",,,,,,1,10.1002_adsc.201701378,,
7,O=C1NC(O)(c2ccccc2)c2ccccc21,C=C(C)C#C[Si](C)(C)C(C)(C)C,CC(C)(C)[Si](C)(C)C#C[C@@]1(C)C[C@@]2(NC(=O)c3ccccc32)c2ccccc21,,C1=CCC=C1.C[Fe]C1C=CC=C1C1=C[C@@H]2C(C3=CC=C[C@H]3[Fe]C3C=CC=C3)=C[C@H]1c1c(F)c(F)c(F)c(F)c12.Fc1c(F)c(F)c2c(c1F)[C@@H]1C=C(C3=CC=C[C@H]3[Fe]C3C=CC=C3)[C@H]2C=C1C1=CC=CC1[Fe]C1C=CC=C1.[Cl-].[Cl-].[Ir+].[Ir+],,Cc1ccccc1,,C1CN2CCN1CC2,FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1.[Na+],,,,,,0.01,,,,,,0.12,,0.1,,,,,,1,0.58,,False,Ir,,,,,,tert-butyldimethyl(3-methylbut-3-en-1-yn-1-yl)silane,2.0,8,NaBARF,,,,,80,,10.1002_adsc.201701378,0.4,,20,,,,20,"π,π,Cl,Ir",,0.005,,0.15,,"1R,3S",,,,,,1,10.1002_adsc.201701378,,
8,O=C1NC(O)(c2ccccc2)c2ccccc21,C=C(C)C#C[Si](C)(C)C(C)(C)C,CC(C)(C)[Si](C)(C)C#C[C@@]1(C)C[C@@]2(NC(=O)c3ccccc32)c2ccccc21,,C1=C\CCCCCC/1.C1=C\CCCCCC/1.C1=C\CCCCCC/1.C1=C\CCCCCC/1.[Cl-].[Cl-].[Ir+].[Ir+].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,,Cc1ccccc1,,C1CN2CCN1CC2,FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1.[Na+],,,,,,0.01,,,,,,0.0,,0.1,,,,,,1,,,False,Ir,,,,,,tert-butyldimethyl(3-methylbut-3-en-1-yn-1-yl)silane,2.0,9,NaBARF,,,,,80,,10.1002_adsc.201701378,0.4,,20,,,,20,"π,π,P,P",,0.005,,0.15,,"1R,3S",,,,,,1,10.1002_adsc.201701378,,
9,O=C1NC(O)(c2ccccc2)c2ccccc21,C=C(C)C#C[Si](C)(C)C(C)(C)C,CC(C)(C)[Si](C)(C)C#C[C@@]1(C)C[C@@]2(NC(=O)c3ccccc32)c2ccccc21,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Cl-].[Cl-].[Rh+].[Rh+],,Cc1ccccc1,,C1CN2CCN1CC2,FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1.[Na+],,,,,,0.01,,,,,,0.0,,0.1,,,,,,1,,,False,Rh,,,,,,tert-butyldimethyl(3-methylbut-3-en-1-yn-1-yl)silane,,10,NaBARF,,,,,80,,10.1002_adsc.201701378,0.4,,20,,,,20,,,0.005,,0.15,,"1R,3S",,,,,,1,10.1002_adsc.201701378,,
