,Reactant SMILES,Reactant SMILES_2,Product SMILES,Product SMILES_2,Catalyst SMILES,Ligand SMILES,Solvent SMILES,Solvent SMILES_2,Additive SMILES,Additive SMILES_2,Additive SMILES_s2,Ref.(DOI),LED step 2,Number of Coordination Atoms 1,pdf name (don't include '.pdf'),L/M 1,S/C 1,Reaction Temperature/C step 2,Reaction Temperature/C,Ligand Name 2,Yield 3,dr 3,Central Metal of Catalyst 2,dr 1,Ligand 2 Type,Product Name 3,Additive 2 step 2,Ammount of additive 1,Product 1 R or S,ee 3,Ammount of additive 2,(Pre)Catalyst Name 2,"Molecular Sieve(3A, 4A, 5A)",Yield 1,Solvent 1 ammount(mL),Charge of Ligand 1,Charge of Ligand 2,Ammount of additive 1 step 2,Central Metal of Catalyst 1,Ligand 1 Type,Pre catalyst 2(True or False),Ammount of reactant 1(mmol),Ammount of Molecular Sieve(mg),Reaction Time/h,LED,Pre catalyst 1(True or False),dr 2,Reaction ID,Yield 2,Valence of Central Metal 1,"Other information(use ""-"" to split, eg. 'property1-property2')",Product 2 R or S,Solvent 2 ammount(mL),Type of Coordination Atoms 1,L/M 2,Pressure/atm,Number of Coordination Atoms 2,Valence of Central Metal 2,Type of Coordination Atoms 2,Reaction Time/h step 2,ee 1,S/C 2,Ammount of additive 2 step 2,ee 2,Reaction Type,Product 3 R or S,Solvent Ratio,Ammount of reactant 2(mmol)
0,CC(C=N1)=CN=C1N2C=CC3=C2C=CC=C3,O=C1N(C)C(C=C1)=O,CC(C=N1)=CN=C1N2C([C@@H]3CC(N(C)C3=O)=O)=CC4=C2C=CC=C4,,CC1=C(C)C([Co](I)(C#[O+])I)(C)C(C)=C1C,[H]C1=C(C(O)=O)[C@@]([C@@]2=C(C3=CC=CC=C3)C=CC4=C2C=CC=C4)=C(C=CC=C5)C5=C1,FC(F)(F)CO,ClCCl,F[Sb-](F)(F)(F)(F)F.[Ag+],[O-]C(C)(C)C.[K+],,10.1002_ajoc.201900565,,1,10.1002_ajoc.201900565,2,20,,35,,,,,75:25,,,,0.005,S,,0.006,,,0.95,0.2,0,,,Co,,,0.05,,20,,True,,1,,2,,,0.05,O,,,,,,,,,,,1,,4,0.1
1,CC(C=N1)=CN=C1N2C=CC3=C2C=CC=C3,O=C1N(C)C(C=C1)=O,CC(C=N1)=CN=C1N2C([C@@H]3CC(N(C)C3=O)=O)=CC4=C2C=CC=C4,,CC1=C(C)C([Co](I)(C#[O+])I)(C)C(C)=C1C,[H]C1=C(C(O)=O)[C@@]([C@@]2=C(OC)C=CC3=C2C=CC=C3)=C(C=CC=C4)C4=C1,FC(F)(F)CO,ClCCl,F[Sb-](F)(F)(F)(F)F.[Ag+],[O-]C(C)(C)C.[K+],,10.1002_ajoc.201900565,,1,10.1002_ajoc.201900565,2,20,,35,,,,,61:39,,,,0.005,S,,0.006,,,0.95,0.2,0,,,Co,,,0.05,,20,,True,,2,,2,,,0.05,O,,,,,,,,,,,1,,4,0.1
2,CC(C=N1)=CN=C1N2C=CC3=C2C=CC=C3,O=C1N(C)C(C=C1)=O,CC(C=N1)=CN=C1N2C([C@@H]3CC(N(C)C3=O)=O)=CC4=C2C=CC=C4,,CC1=C(C)C([Co](I)(C#[O+])I)(C)C(C)=C1C,[H]C1=C(C(O)=O)[C@@]([C@@]2=C(C3=CC=C(C=CC=C4)C4=C3)C=CC5=C2C=CC=C5)=C(C=CC=C6)C6=C1,FC(F)(F)CO,ClCCl,F[Sb-](F)(F)(F)(F)F.[Ag+],[O-]C(C)(C)C.[K+],,10.1002_ajoc.201900565,,1,10.1002_ajoc.201900565,2,20,,35,,,,,69:31,,,,0.005,S,,0.006,,,0.95,0.2,0,,,Co,,,0.05,,20,,True,,3,,2,,,0.05,O,,,,,,,,,,,1,,4,0.1
3,CC(C=N1)=CN=C1N2C=CC3=C2C=CC=C3,O=C1N(C)C(C=C1)=O,CC(C=N1)=CN=C1N2C([C@@H]3CC(N(C)C3=O)=O)=CC4=C2C=CC=C4,,CC1=C(C)C([Co](I)(C#[O+])I)(C)C(C)=C1C,O=C(C1=C(C2=CC=CC=C2)C=C3C(C=CC=C3)=[C@]1[C@]4=C(C5=CC=CC=C5)C=CC6=C4C=CC=C6)O,FC(F)(F)CO,ClCCl,F[Sb-](F)(F)(F)(F)F.[Ag+],[O-]C(C)(C)C.[K+],,10.1002_ajoc.201900565,,1,10.1002_ajoc.201900565,2,20,,35,,,,,49:51,,,,0.005,S,,0.006,,,0.63,0.2,0,,,Co,,,0.05,,20,,True,,4,,2,,,0.05,O,,,,,,,,,,,1,,4,0.1
4,CC(C=N1)=CN=C1N2C=CC3=C2C=CC=C3,O=C1N(C)C(C=C1)=O,CC(C=N1)=CN=C1N2C([C@@H]3CC(N(C)C3=O)=O)=CC4=C2C=CC=C4,,CC1=C(C)C([Co](I)(C#[O+])I)(C)C(C)=C1C,[H]C1=C(C(O)=O)[C@@]([C@@]2=C(C(O)=O)C=CC3=C2C=CC=C3)=C(C=CC=C4)C4=C1,FC(F)(F)CO,ClCCl,F[Sb-](F)(F)(F)(F)F.[Ag+],[O-]C(C)(C)C.[K+],,10.1002_ajoc.201900565,,1,10.1002_ajoc.201900565,1,20,,35,,,,,54:46,,,,0.005,S,,0.006,,,0.95,0.2,0,,,Co,,,0.05,,20,,True,,5,,2,,,0.05,O,,,,,,,,,,,1,,4,0.1
5,CC(C=N1)=CN=C1N2C=CC3=C2C=CC=C3,O=C1N(C)C(C=C1)=O,CC(C=N1)=CN=C1N2C([C@@H]3CC(N(C)C3=O)=O)=CC4=C2C=CC=C4,,CC1=C(C)C([Co](I)(C#[O+])I)(C)C(C)=C1C,O=C(N(C(C(O)=O)C(C)(C)C)C1=O)C2C1[C@H]3CC[C@@H]2C3,FC(F)(F)CO,ClCCl,F[Sb-](F)(F)(F)(F)F.[Ag+],[O-]C(C)(C)C.[K+],,10.1002_ajoc.201900565,,1,10.1002_ajoc.201900565,2,20,,35,,,,,64:36,,,,0.005,S,,0.006,,,0.95,0.2,0,,,Co,,,0.05,,20,,True,,6,,2,,,0.05,O,,,,,,,,,,,1,,4,0.1
6,CC(C=N1)=CN=C1N2C=CC3=C2C=CC=C3,O=C1N(C)C(C=C1)=O,CC(C=N1)=CN=C1N2C([C@@H]3CC(N(C)C3=O)=O)=CC4=C2C=CC=C4,,CC1=C(C)C([Co](I)(C#[O+])I)(C)C(C)=C1C,O=C(N1[C@@H](C2=CC=CC=C2)[C@H](C3=CC=CC=C3)N(C(C4=CC=CC=C4)=O)C1C(O)=O)C5=CC=CC=C5,FC(F)(F)CO,ClCCl,F[Sb-](F)(F)(F)(F)F.[Ag+],[O-]C(C)(C)C.[K+],,10.1002_ajoc.201900565,,1,10.1002_ajoc.201900565,2,20,,35,,,,,50:50,,,,0.005,S,,0.006,,,0.77,0.2,0,,,Co,,,0.05,,20,,True,,7,,2,,,0.05,O,,,,,,,,,,,1,,4,0.1
7,CC(C=N1)=CN=C1N2C=CC3=C2C=CC=C3,O=C1N(C)C(C=C1)=O,CC(C=N1)=CN=C1N2C([C@@H]3CC(N(C)C3=O)=O)=CC4=C2C=CC=C4,,CC1=C(C)C([Co](I)(C#[O+])I)(C)C(C)=C1C,[H]C1=C(C(O)=O)[C@@]([C@@]2=C(C3=CC=CC=C3)C=CC4=C2C=CC=C4)=C(C=CC=C5)C5=C1,FC(F)(F)CO,ClCCl,F[Sb-](F)(F)(F)(F)F.[Ag+],[O-]C(C)(C)C.[K+],,10.1002_ajoc.201900565,,1,10.1002_ajoc.201900565,2,20,,35,,,,,80:20,,,,0.005,S,,0.006,,,0.65,0.2,0,,,Co,,,0.05,,20,,True,,8,,2,,,0.05,O,,,,,,,,,,,1,,4,0.1
8,CC(C=N1)=CN=C1N2C=CC3=C2C=CC=C3,O=C1N(C)C(C=C1)=O,CC(C=N1)=CN=C1N2C([C@@H]3CC(N(C)C3=O)=O)=CC4=C2C=CC=C4,,[Co]C1(C)C(C)=C(C)C(C)=C1C.CC#N.CC#N.CC#N,[H]C1=C(C(O)=O)[C@@]([C@@]2=C(C3=CC=CC=C3)C=CC4=C2C=CC=C4)=C(C=CC=C5)C5=C1,FC(F)(F)CO,ClCCl,,[O-]C(C)(C)C.[K+],,10.1002_ajoc.201900565,,1,10.1002_ajoc.201900565,2,20,,35,,,,,81:19,,,,,S,,0.006,,MS13X,0.94,0.2,0,,,Co,,,0.05,10.0,20,,True,,9,,2,,,0.05,O,,,,,,,,,,,1,,4,0.1
9,CC(C=N1)=CN=C1N2C=CC3=C2C=CC=C3,O=C1N(C)C(C=C1)=O,CC(C=N1)=CN=C1N2C([C@@H]3CC(N(C)C3=O)=O)=CC4=C2C=CC=C4,,[Co]C1(C)C(C)=C(C)C(C)=C1C.CC#N.CC#N.CC#N,[H]C1=C(C(O)=O)[C@@]([C@@]2=C(C3=CC=CC=C3)C=CC4=C2C=CC=C4)=C(C=CC=C5)C5=C1,FC(F)(F)CO,ClCCl,,[O-]C(C)(C)C.[K+],,10.1002_ajoc.201900565,,1,10.1002_ajoc.201900565,2,20,,10,,,,,81:19,,,,,S,,0.024,,MS13X,0.86,0.8,0,,,Co,,,0.2,40.0,72,,True,,10,,2,,,0.2,O,,,,,,,,,,,1,,4,0.4
