Unnamed: 0,Reactant SMILES,Reactant SMILES_2,Product SMILES,Product SMILES_2,Catalyst SMILES,Ligand SMILES,Solvent SMILES,Solvent SMILES_2,Additive SMILES,Additive SMILES_2,Additive SMILES_s2,Yield 2,ee 3,Product 2 R or S,Pre catalyst 2(True or False),Ammount of additive 2,dr 3,Type of Coordination Atoms 2,Additive 2 step 2,L/M 1,L/M 2,Yield 1,Charge of Ligand 2,Ammount of reactant 1(mmol),Central Metal of Catalyst 2,Solvent Ratio,Pressure/atm,S/C 2,Solvent 2 ammount(mL),Valence of Central Metal 1,ee 1,Valence of Central Metal 2,Pre catalyst 1(True or False),Central Metal of Catalyst 1,Ligand Name 2,Ammount of additive 2 step 2,dr 2,Product 3 R or S,"Other information(use ""-"" to split, eg. 'property1-property2')",Reactant Name 2,Ligand 1 Type,Reaction ID,Additive 2,Additive 1 step 2,Reaction Temperature/C step 2,Product Name 2,Product Name 3,Reaction Temperature/C,(Pre)Catalyst Name 2,pdf name (don't include '.pdf'),Solvent 1 ammount(mL),dr 1,S/C 1,Ligand 2 Type,Type of Coordination Atoms 1,Ammount of additive 1 step 2,Reaction Time/h,Number of Coordination Atoms 1,Solvent 2,Ammount of additive 1,ee 2,Ammount of reactant 2(mmol),Reaction Time/h step 2,Product 1 R or S,LED,Number of Coordination Atoms 2,LED step 2,Ammount of Molecular Sieve(mg),Charge of Ligand 1,Reaction Type,Ref.(DOI),Yield 3,"Molecular Sieve(3A, 4A, 5A)"
0,Cc1cnc(-n2ccc3ccccc32)nc1,CN1C(=O)C=CC1=O,Cc1cnc(-n2c([C@@H]3CC(=O)N(C)C3=O)cc3ccccc32)nc1,,CC1=C(C)C(C)([Co](I)(I)C#[O+])C(C)=C1C,O=C(O)c1ccc2ccccc2c1-c1c(-c2ccccc2)ccc2ccccc12,OCC(F)(F)F,ClCCl,F[Sb-](F)(F)(F)(F)F.[Ag+],CC(C)(C)[O-].[K+],,,,,,0.006,,,,2,,0.95,,0.05,,4,,,0.05,2,,,True,Co,,,,,,"1-methyl-1H-pyrrole-2,5-dione",,1,t-BuOK,,,,,35,,10.1002_ajoc.201900565,0.2,75:25,20,,O,,20,1,DCM,0.005,,0.1,,S,,,,,0,1,10.1002_ajoc.201900565,,
1,Cc1cnc(-n2ccc3ccccc32)nc1,CN1C(=O)C=CC1=O,Cc1cnc(-n2c([C@@H]3CC(=O)N(C)C3=O)cc3ccccc32)nc1,,CC1=C(C)C(C)([Co](I)(I)C#[O+])C(C)=C1C,COc1ccc2ccccc2c1-c1c(C(=O)O)ccc2ccccc12,OCC(F)(F)F,ClCCl,F[Sb-](F)(F)(F)(F)F.[Ag+],CC(C)(C)[O-].[K+],,,,,,0.006,,,,2,,0.95,,0.05,,4,,,0.05,2,,,True,Co,,,,,,"1-methyl-1H-pyrrole-2,5-dione",,2,t-BuOK,,,,,35,,10.1002_ajoc.201900565,0.2,61:39,20,,O,,20,1,DCM,0.005,,0.1,,S,,,,,0,1,10.1002_ajoc.201900565,,
2,Cc1cnc(-n2ccc3ccccc32)nc1,CN1C(=O)C=CC1=O,Cc1cnc(-n2c([C@@H]3CC(=O)N(C)C3=O)cc3ccccc32)nc1,,CC1=C(C)C(C)([Co](I)(I)C#[O+])C(C)=C1C,O=C(O)c1ccc2ccccc2c1-c1c(-c2ccc3ccccc3c2)ccc2ccccc12,OCC(F)(F)F,ClCCl,F[Sb-](F)(F)(F)(F)F.[Ag+],CC(C)(C)[O-].[K+],,,,,,0.006,,,,2,,0.95,,0.05,,4,,,0.05,2,,,True,Co,,,,,,"1-methyl-1H-pyrrole-2,5-dione",,3,t-BuOK,,,,,35,,10.1002_ajoc.201900565,0.2,69:31,20,,O,,20,1,DCM,0.005,,0.1,,S,,,,,0,1,10.1002_ajoc.201900565,,
3,Cc1cnc(-n2ccc3ccccc32)nc1,CN1C(=O)C=CC1=O,Cc1cnc(-n2c([C@@H]3CC(=O)N(C)C3=O)cc3ccccc32)nc1,,CC1=C(C)C(C)([Co](I)(I)C#[O+])C(C)=C1C,O=C(O)c1c(-c2ccccc2)cc2ccccc2c1-c1c(-c2ccccc2)ccc2ccccc12,OCC(F)(F)F,ClCCl,F[Sb-](F)(F)(F)(F)F.[Ag+],CC(C)(C)[O-].[K+],,,,,,0.006,,,,2,,0.63,,0.05,,4,,,0.05,2,,,True,Co,,,,,,"1-methyl-1H-pyrrole-2,5-dione",,4,t-BuOK,,,,,35,,10.1002_ajoc.201900565,0.2,49:51,20,,O,,20,1,DCM,0.005,,0.1,,S,,,,,0,1,10.1002_ajoc.201900565,,
4,Cc1cnc(-n2ccc3ccccc32)nc1,CN1C(=O)C=CC1=O,Cc1cnc(-n2c([C@@H]3CC(=O)N(C)C3=O)cc3ccccc32)nc1,,CC1=C(C)C(C)([Co](I)(I)C#[O+])C(C)=C1C,O=C(O)c1ccc2ccccc2c1-c1c(C(=O)O)ccc2ccccc12,OCC(F)(F)F,ClCCl,F[Sb-](F)(F)(F)(F)F.[Ag+],CC(C)(C)[O-].[K+],,,,,,0.006,,,,1,,0.95,,0.05,,4,,,0.05,2,,,True,Co,,,,,,"1-methyl-1H-pyrrole-2,5-dione",,5,t-BuOK,,,,,35,,10.1002_ajoc.201900565,0.2,54:46,20,,O,,20,1,DCM,0.005,,0.1,,S,,,,,0,1,10.1002_ajoc.201900565,,
5,Cc1cnc(-n2ccc3ccccc32)nc1,CN1C(=O)C=CC1=O,Cc1cnc(-n2c([C@@H]3CC(=O)N(C)C3=O)cc3ccccc32)nc1,,CC1=C(C)C(C)([Co](I)(I)C#[O+])C(C)=C1C,CC(C)(C)C(C(=O)O)N1C(=O)C2C(C1=O)[C@H]1CC[C@@H]2C1,OCC(F)(F)F,ClCCl,F[Sb-](F)(F)(F)(F)F.[Ag+],CC(C)(C)[O-].[K+],,,,,,0.006,,,,2,,0.95,,0.05,,4,,,0.05,2,,,True,Co,,,,,,"1-methyl-1H-pyrrole-2,5-dione",,6,t-BuOK,,,,,35,,10.1002_ajoc.201900565,0.2,64:36,20,,O,,20,1,DCM,0.005,,0.1,,S,,,,,0,1,10.1002_ajoc.201900565,,
6,Cc1cnc(-n2ccc3ccccc32)nc1,CN1C(=O)C=CC1=O,Cc1cnc(-n2c([C@@H]3CC(=O)N(C)C3=O)cc3ccccc32)nc1,,CC1=C(C)C(C)([Co](I)(I)C#[O+])C(C)=C1C,O=C(O)C1N(C(=O)c2ccccc2)[C@@H](c2ccccc2)[C@H](c2ccccc2)N1C(=O)c1ccccc1,OCC(F)(F)F,ClCCl,F[Sb-](F)(F)(F)(F)F.[Ag+],CC(C)(C)[O-].[K+],,,,,,0.006,,,,2,,0.77,,0.05,,4,,,0.05,2,,,True,Co,,,,,,"1-methyl-1H-pyrrole-2,5-dione",,7,t-BuOK,,,,,35,,10.1002_ajoc.201900565,0.2,50:50,20,,O,,20,1,DCM,0.005,,0.1,,S,,,,,0,1,10.1002_ajoc.201900565,,
7,Cc1cnc(-n2ccc3ccccc32)nc1,CN1C(=O)C=CC1=O,Cc1cnc(-n2c([C@@H]3CC(=O)N(C)C3=O)cc3ccccc32)nc1,,CC1=C(C)C(C)([Co](I)(I)C#[O+])C(C)=C1C,O=C(O)c1ccc2ccccc2c1-c1c(-c2ccccc2)ccc2ccccc12,OCC(F)(F)F,ClCCl,F[Sb-](F)(F)(F)(F)F.[Ag+],CC(C)(C)[O-].[K+],,,,,,0.006,,,,2,,0.65,,0.05,,4,,,0.05,2,,,True,Co,,,,,,"1-methyl-1H-pyrrole-2,5-dione",,8,t-BuOK,,,,,35,,10.1002_ajoc.201900565,0.2,80:20,20,,O,,20,1,DCM,0.005,,0.1,,S,,,,,0,1,10.1002_ajoc.201900565,,
8,Cc1cnc(-n2ccc3ccccc32)nc1,CN1C(=O)C=CC1=O,Cc1cnc(-n2c([C@@H]3CC(=O)N(C)C3=O)cc3ccccc32)nc1,,CC#N.CC#N.CC#N.CC1=C(C)C(C)([Co])C(C)=C1C,O=C(O)c1ccc2ccccc2c1-c1c(-c2ccccc2)ccc2ccccc12,OCC(F)(F)F,ClCCl,,CC(C)(C)[O-].[K+],,,,,,0.006,,,,2,,0.94,,0.05,,4,,,0.05,2,,,True,Co,,,,,,"1-methyl-1H-pyrrole-2,5-dione",,9,t-BuOK,,,,,35,,10.1002_ajoc.201900565,0.2,81:19,20,,O,,20,1,DCM,,,0.1,,S,,,,10.0,0,1,10.1002_ajoc.201900565,,MS13X
9,Cc1cnc(-n2ccc3ccccc32)nc1,CN1C(=O)C=CC1=O,Cc1cnc(-n2c([C@@H]3CC(=O)N(C)C3=O)cc3ccccc32)nc1,,CC#N.CC#N.CC#N.CC1=C(C)C(C)([Co])C(C)=C1C,O=C(O)c1ccc2ccccc2c1-c1c(-c2ccccc2)ccc2ccccc12,OCC(F)(F)F,ClCCl,,CC(C)(C)[O-].[K+],,,,,,0.024,,,,2,,0.86,,0.2,,4,,,0.2,2,,,True,Co,,,,,,"1-methyl-1H-pyrrole-2,5-dione",,10,t-BuOK,,,,,10,,10.1002_ajoc.201900565,0.8,81:19,20,,O,,72,1,DCM,,,0.4,,S,,,,40.0,0,1,10.1002_ajoc.201900565,,MS13X
