Reaction ID,Reaction Type,Reactant Name 1,Ammount of reactant 1(mmol),Reactant Name 2,Ammount of reactant 2(mmol),Product Name 1,Product Name 2,Product Name 3,Product 1 R or S,Product 2 R or S,Product 3 R or S,Solvent 1,Solvent 2,Solvent Ratio,Solvent 1 ammount(mL),Solvent 2 ammount(mL),Additive 1,Ammount of additive 1,Additive 2,Ammount of additive 2,Additive 1 step 2,Ammount of additive 1 step 2,Additive 2 step 2,Ammount of additive 2 step 2,"Molecular Sieve(3A, 4A, 5A)",Ammount of Molecular Sieve(mg),Pre catalyst 1(True or False),(Pre)Catalyst Name 1,Ligand Name 1,Central Metal of Catalyst 1,Valence of Central Metal 1,Charge of Ligand 1,Ligand 1 Type,Number of Coordination Atoms 1,Type of Coordination Atoms 1,Pre catalyst 2(True or False),(Pre)Catalyst Name 2,Ligand Name 2,Central Metal of Catalyst 2,Valence of Central Metal 2,Charge of Ligand 2,Ligand 2 Type,Number of Coordination Atoms 2,Type of Coordination Atoms 2,Reaction Time/h,Reaction Temperature/C,LED,Reaction Time/h step 2,Reaction Temperature/C step 2,LED step 2,Yield 1,ee 1,Yield 2,ee 2,Yield 3,ee 3,dr 1,dr 2,dr 3,Pressure/atm,S/C 1,S/C 2,L/M 1,L/M 2,Ref.(DOI),pdf name (don't include '.pdf'),"Other information(use ""-"" to split, eg. 'property1-property2')"
1,1,1-iodo-2-((2-phenylallyl)oxy)benzene,0.2,"1,1,1,2,2,2-hexamethyldisilane",1.6,"(S)-trimethyl(2-(3-((trimethylsilyl)methyl)-2,3-dihydrobenzofuran-3-yl)phenyl)silane",,,S,,,CH3CN,,,2,,K3PO4,0.5,,,,,,,,,TRUE,Pd(OAc)2,PPh3,Pd,2,0,,1,P,,,,,,,,,,12,70,,,,,0.97,,,,,,,,,,10,,2,,10.1002_ajoc.202100502,10.1002_ajoc.202100502,
2,,1-iodo-2-((2-phenylallyl)oxy)benzene,0.2,"1,1,1,2,2,2-hexamethyldisilane",1.6,"(S)-trimethyl(2-(3-((trimethylsilyl)methyl)-2,3-dihydrobenzofuran-3-yl)phenyl)silane",,,S,,,CH3CN,,,2,,K3PO4,0.5,,,,,,,,,TRUE,Pd(OAc)2,L1,Pd,2,0,,2,"P,P",,,,,,,,,,12,70,,,,,0.4,0.05,,,,,,,,,10,,2,,10.1002_ajoc.202100502,10.1002_ajoc.202100502,
3,,1-iodo-2-((2-phenylallyl)oxy)benzene,0.2,"1,1,1,2,2,2-hexamethyldisilane",1.6,"(S)-trimethyl(2-(3-((trimethylsilyl)methyl)-2,3-dihydrobenzofuran-3-yl)phenyl)silane",,,S,,,CH3CN,,,2,,K3PO4,0.5,,,,,,,,,TRUE,Pd(OAc)2,L2,Pd,2,0,,1,P,,,,,,,,,,12,70,,,,,0.96,-0.07,,,,,,,,,10,,2,,10.1002_ajoc.202100502,10.1002_ajoc.202100502,
4,,1-iodo-2-((2-phenylallyl)oxy)benzene,0.2,"1,1,1,2,2,2-hexamethyldisilane",1.6,"(S)-trimethyl(2-(3-((trimethylsilyl)methyl)-2,3-dihydrobenzofuran-3-yl)phenyl)silane",,,S,,,CH3CN,,,2,,K3PO4,0.5,,,,,,,,,TRUE,Pd(OAc)2,L3,Pd,2,0,,1,P,,,,,,,,,,12,70,,,,,0.96,0,,,,,,,,,10,,2,,10.1002_ajoc.202100502,10.1002_ajoc.202100502,
5,,1-iodo-2-((2-phenylallyl)oxy)benzene,0.2,"1,1,1,2,2,2-hexamethyldisilane",1.6,"(S)-trimethyl(2-(3-((trimethylsilyl)methyl)-2,3-dihydrobenzofuran-3-yl)phenyl)silane",,,S,,,CH3CN,,,2,,K3PO4,0.5,,,,,,,,,TRUE,Pd(OAc)2,L4,Pd,2,0,,1,O,,,,,,,,,,12,70,,,,,0.9,-0.03,,,,,,,,,10,,2,,10.1002_ajoc.202100502,10.1002_ajoc.202100502,
6,,1-iodo-2-((2-phenylallyl)oxy)benzene,0.2,"1,1,1,2,2,2-hexamethyldisilane",1.6,"(S)-trimethyl(2-(3-((trimethylsilyl)methyl)-2,3-dihydrobenzofuran-3-yl)phenyl)silane",,,S,,,CH3CN,,,2,,K3PO4,0.5,,,,,,,,,TRUE,Pd(OAc)2,L5,Pd,2,0,,2,"P,N",,,,,,,,,,12,70,,,,,0.97,0,,,,,,,,,10,,2,,10.1002_ajoc.202100502,10.1002_ajoc.202100502,
7,,1-iodo-2-((2-phenylallyl)oxy)benzene,0.2,"1,1,1,2,2,2-hexamethyldisilane",1.6,"(S)-trimethyl(2-(3-((trimethylsilyl)methyl)-2,3-dihydrobenzofuran-3-yl)phenyl)silane",,,S,,,CH3CN,,,2,,K3PO4,0.5,,,,,,,,,TRUE,Pd(OAc)2,L6,Pd,2,0,,2,"P,P",,,,,,,,,,12,70,,,,,,,,,,,,,,,10,,2,,10.1002_ajoc.202100502,10.1002_ajoc.202100502,
8,,1-iodo-2-((2-phenylallyl)oxy)benzene,0.2,"1,1,1,2,2,2-hexamethyldisilane",1.6,"(S)-trimethyl(2-(3-((trimethylsilyl)methyl)-2,3-dihydrobenzofuran-3-yl)phenyl)silane",,,S,,,CH3CN,,,2,,K3PO4,0.5,,,,,,,,,TRUE,Pd(OAc)2,L7,Pd,2,0,,1,P,,,,,,,,,,12,70,,,,,0.94,0.13,,,,,,,,,10,,2,,10.1002_ajoc.202100502,10.1002_ajoc.202100502,
9,,1-iodo-2-((2-phenylallyl)oxy)benzene,0.2,"1,1,1,2,2,2-hexamethyldisilane",1.6,"(S)-trimethyl(2-(3-((trimethylsilyl)methyl)-2,3-dihydrobenzofuran-3-yl)phenyl)silane",,,S,,,CH3CN,,,2,,K3PO4,0.5,,,,,,,,,TRUE,Pd(OAc)2,L8,Pd,2,0,,1,P,,,,,,,,,,12,70,,,,,0.48,0.45,,,,,,,,,10,,2,,10.1002_ajoc.202100502,10.1002_ajoc.202100502,
10,,1-iodo-2-((2-phenylallyl)oxy)benzene,0.2,"1,1,1,2,2,2-hexamethyldisilane",0.4,"(S)-trimethyl(2-(3-((trimethylsilyl)methyl)-2,3-dihydrobenzofuran-3-yl)phenyl)silane",,,S,,,CH3CN,,,2,,K3PO4,0.5,,,,,,,,,TRUE,Pd(OAc)2,L8,Pd,2,0,,1,P,,,,,,,,,,12,70,,,,,0.63,0,,,,,,,,,10,,2,,10.1002_ajoc.202100502,10.1002_ajoc.202100502,
