Reaction ID,Reaction Type,Reactant Name 1,Ammount of reactant 1(mmol),Reactant Name 2,Ammount of reactant 2(mmol),Product Name 1,Product Name 2,Product Name 3,Product 1 R or S,Product 2 R or S,Product 3 R or S,Solvent 1,Solvent 2,Solvent Ratio,Solvent 1 ammount(mL),Solvent 2 ammount(mL),Additive 1,Ammount of additive 1,Additive 2,Ammount of additive 2,Additive 1 step 2,Ammount of additive 1 step 2,Additive 2 step 2,Ammount of additive 2 step 2,"Molecular Sieve(3A, 4A, 5A)",Ammount of Molecular Sieve(mg),Pre catalyst 1(True or False),(Pre)Catalyst Name 1,Ligand Name 1,Central Metal of Catalyst 1,Valence of Central Metal 1,Charge of Ligand 1,Ligand 1 Type,Number of Coordination Atoms 1,Type of Coordination Atoms 1,Pre catalyst 2(True or False),(Pre)Catalyst Name 2,Ligand Name 2,Central Metal of Catalyst 2,Valence of Central Metal 2,Charge of Ligand 2,Ligand 2 Type,Number of Coordination Atoms 2,Type of Coordination Atoms 2,Reaction Time/h,Reaction Temperature/C,LED,Reaction Time/h step 2,Reaction Temperature/C step 2,LED step 2,Yield 1,ee 1,Yield 2,ee 2,Yield 3,ee 3,dr 1,dr 2,dr 3,Pressure/atm,S/C 1,S/C 2,L/M 1,L/M 2,Ref.(DOI),pdf name (don't include '.pdf'),"Other information(use ""-"" to split, eg. 'property1-property2')"
1,1,"N,N-diisopropylformamide",0.2,oct-4-yne,0.4,"(R)-1-isopropyl-6-methyl-3,4-dipropyl-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L1,Ni,0,0,,1,P,,,,,,,,,,12,100,,,,,0,,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
2,1,"N,N-diisopropylformamide",0.2,oct-4-yne,0.4,"(R)-1-isopropyl-6-methyl-3,4-dipropyl-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L2,Ni,0,0,,1,P,,,,,,,,,,12,100,,,,,0.4,0.4,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
3,1,"N,N-diisopropylformamide",0.2,oct-4-yne,0.4,"(R)-1-isopropyl-6-methyl-3,4-dipropyl-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L3,Ni,0,0,,1,P,,,,,,,,,,12,100,,,,,0.3,0.32,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
4,1,"N,N-diisopropylformamide",0.2,oct-4-yne,0.4,"(R)-1-isopropyl-6-methyl-3,4-dipropyl-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L4,Ni,0,0,,1,P,,,,,,,,,,12,100,,,,,0.9,0.44,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
5,1,"N,N-diisopropylformamide",0.2,oct-4-yne,0.4,"(R)-1-isopropyl-6-methyl-3,4-dipropyl-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L5,Ni,0,0,,1,P,,,,,,,,,,12,100,,,,,0.97,0.48,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
6,1,"N,N-diisopropylformamide",0.2,oct-4-yne,0.4,"(R)-1-isopropyl-6-methyl-3,4-dipropyl-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L6,Ni,0,0,,1,P,,,,,,,,,,12,100,,,,,0.98,0.67,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
7,1,"N,N-diisopropylformamide",0.2,oct-4-yne,0.4,"(R)-1-isopropyl-6-methyl-3,4-dipropyl-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L7,Ni,0,0,,1,P,,,,,,,,,,12,100,,,,,0.96,0.57,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
8,1,"N,N-diisopropylformamide",0.2,oct-4-yne,0.4,"(R)-1-isopropyl-6-methyl-3,4-dipropyl-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L8,Ni,0,0,,1,P,,,,,,,,,,12,100,,,,,0.94,0.68,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
9,1,"N,N-diisopropylformamide",0.2,oct-4-yne,0.4,"(R)-1-isopropyl-6-methyl-3,4-dipropyl-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L9,Ni,0,0,,1,P,,,,,,,,,,12,100,,,,,0.98,0.65,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
10,1,"N,N-diisopropylformamide",0.2,oct-4-yne,0.4,"(R)-1-isopropyl-6-methyl-3,4-dipropyl-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L10,Ni,0,0,,1,P,,,,,,,,,,12,100,,,,,0.74,0.06,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
11,1,"N,N-diisopropylformamide",0.2,oct-4-yne,0.4,"(R)-1-isopropyl-6-methyl-3,4-dipropyl-5,6-dihydropyridin-2(1H)-one",,,R,,,toluene,,,0.5,,triisobutylaluminum,0.08,,,,,,,,,TRUE,Ni(cod)2,L11,Ni,0,0,,1,P,,,,,,,,,,12,100,,,,,0.74,0.06,,,,,,,,,20,,1,,10.1002_ange.202209625,10.1002_ange.202209625,
