,Reactant SMILES,Reactant SMILES_2,Product SMILES,Product SMILES_2,Catalyst SMILES,Ligand SMILES,Solvent SMILES,Solvent SMILES_2,Additive SMILES,Additive SMILES_2,Additive SMILES_s2,Ref.(DOI),LED step 2,Number of Coordination Atoms 1,pdf name (don't include '.pdf'),L/M 1,S/C 1,Reaction Temperature/C step 2,Reaction Temperature/C,Ligand Name 2,Yield 3,dr 3,Central Metal of Catalyst 2,dr 1,Ligand 2 Type,Product Name 3,Additive 2 step 2,Ammount of additive 1,Product 1 R or S,ee 3,Ammount of additive 2,(Pre)Catalyst Name 2,"Molecular Sieve(3A, 4A, 5A)",Yield 1,Solvent 1 ammount(mL),Charge of Ligand 1,Charge of Ligand 2,Ammount of additive 1 step 2,Central Metal of Catalyst 1,Ligand 1 Type,Pre catalyst 2(True or False),Ammount of reactant 1(mmol),Ammount of Molecular Sieve(mg),Reaction Time/h,LED,Pre catalyst 1(True or False),dr 2,Reaction ID,Yield 2,Valence of Central Metal 1,"Other information(use ""-"" to split, eg. 'property1-property2')",Product 2 R or S,Solvent 2 ammount(mL),Type of Coordination Atoms 1,L/M 2,Pressure/atm,Number of Coordination Atoms 2,Valence of Central Metal 2,Type of Coordination Atoms 2,Reaction Time/h step 2,ee 1,S/C 2,Ammount of additive 2 step 2,ee 2,Reaction Type,Product 3 R or S,Solvent Ratio,Ammount of reactant 2(mmol)
0,[H]C(N(C(C)C)C(C)C)=O,CCCC#CCCC,O=C1N(C(C)C)[C@H](C)CC(CCC)=C1CCC,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],CC1(C)O[C@H]2[C@@H](C(C3=CC=CC=C3)(C4=CC=CC=C4)OP(OC5=CC=CC=C5)OC2(C6=CC=CC=C6)C7=CC=CC=C7)O1,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,100,,,,,,,,,0.08,R,,,,,0.0,0.5,0,,,Ni,,,0.2,,12,,True,,1,,0,,,,P,,,,,,,,,,,1,,,0.4
1,[H]C(N(C(C)C)C(C)C)=O,CCCC#CCCC,O=C1N(C(C)C)[C@H](C)CC(CCC)=C1CCC,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],CC1(C)O[C@H]2[C@@H](C(C3=CC=CC=C3)(C4=CC=CC=C4)OP(N(C)C)OC2(C5=CC=CC=C5)C6=CC=CC=C6)O1,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,100,,,,,,,,,0.08,R,,,,,0.4,0.5,0,,,Ni,,,0.2,,12,,True,,2,,0,,,,P,,,,,,,0.4,,,,1,,,0.4
2,[H]C(N(C(C)C)C(C)C)=O,CCCC#CCCC,O=C1N(C(C)C)[C@H](C)CC(CCC)=C1CCC,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],CC1(C)O[C@H]2[C@@H](C(C3=CC=CC=C3)(C4=CC=CC=C4)OP(N5CCCCC5)OC2(C6=CC=CC=C6)C7=CC=CC=C7)O1,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,100,,,,,,,,,0.08,R,,,,,0.3,0.5,0,,,Ni,,,0.2,,12,,True,,3,,0,,,,P,,,,,,,0.32,,,,1,,,0.4
3,[H]C(N(C(C)C)C(C)C)=O,CCCC#CCCC,O=C1N(C(C)C)[C@H](C)CC(CCC)=C1CCC,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],CC1(C)O[C@H]2[C@@H](C(C3=CC=CC=C3)(C4=CC=CC=C4)OP(OC2(C5=CC=CC=C5)C6=CC=CC=C6)=O)O1,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,100,,,,,,,,,0.08,R,,,,,0.9,0.5,0,,,Ni,,,0.2,,12,,True,,4,,0,,,,P,,,,,,,0.44,,,,1,,,0.4
4,[H]C(N(C(C)C)C(C)C)=O,CCCC#CCCC,O=C1N(C(C)C)[C@H](C)CC(CCC)=C1CCC,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],CC1(C)O[C@@H]2[C@@H](C(C3=CC(C)=CC(C)=C3)(C4=CC(C)=CC(C)=C4)OP(OC2(C5=CC(C)=CC(C)=C5)C6=CC(C)=CC(C)=C6)=O)O1,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,100,,,,,,,,,0.08,R,,,,,0.97,0.5,0,,,Ni,,,0.2,,12,,True,,5,,0,,,,P,,,,,,,0.48,,,,1,,,0.4
5,[H]C(N(C(C)C)C(C)C)=O,CCCC#CCCC,O=C1N(C(C)C)[C@H](C)CC(CCC)=C1CCC,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],CC1(C)O[C@@H]2[C@@H](C(C3=CC=CC=C3C)(C4=CC=CC=C4C)OP(OC2(C5=C(C)C=CC=C5)C6=CC=CC=C6C)=O)O1,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,100,,,,,,,,,0.08,R,,,,,0.98,0.5,0,,,Ni,,,0.2,,12,,True,,6,,0,,,,P,,,,,,,0.67,,,,1,,,0.4
6,[H]C(N(C(C)C)C(C)C)=O,CCCC#CCCC,O=C1N(C(C)C)[C@H](C)CC(CCC)=C1CCC,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],O=P(OC1(C2=C(C)C=CC=C2)C3=CC=CC=C3C)OC(C4=CC=CC=C4C)(C5=CC=CC=C5C)[C@@H]6[C@H]1OC(C7=CC=CC=C7)(C8=CC=CC=C8)O6,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,100,,,,,,,,,0.08,R,,,,,0.96,0.5,0,,,Ni,,,0.2,,12,,True,,7,,0,,,,P,,,,,,,0.57,,,,1,,,0.4
7,[H]C(N(C(C)C)C(C)C)=O,CCCC#CCCC,O=C1N(C(C)C)[C@H](C)CC(CCC)=C1CCC,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],O=P(OC1(C2=C(C)C=CC=C2)C3=CC=CC=C3C)OC(C4=CC=CC=C4C)(C5=CC=CC=C5C)[C@@H]6[C@H]1OC(C7CCCCC7)(C8CCCCC8)O6,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,100,,,,,,,,,0.08,R,,,,,0.94,0.5,0,,,Ni,,,0.2,,12,,True,,8,,0,,,,P,,,,,,,0.68,,,,1,,,0.4
8,[H]C(N(C(C)C)C(C)C)=O,CCCC#CCCC,O=C1N(C(C)C)[C@H](C)CC(CCC)=C1CCC,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],O=P(OC1(C2=C(C)C=CC=C2)C3=CC=CC=C3C)OC(C4=CC=CC=C4C)(C5=CC=CC=C5C)[C@@H]6[C@H]1OC(C(C)C)(C(C)C)O6,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,100,,,,,,,,,0.08,R,,,,,0.98,0.5,0,,,Ni,,,0.2,,12,,True,,9,,0,,,,P,,,,,,,0.65,,,,1,,,0.4
9,[H]C(N(C(C)C)C(C)C)=O,CCCC#CCCC,O=C1N(C(C)C)[C@H](C)CC(CCC)=C1CCC,,C1=C\CC/C=C\CC/1.C2=C\CC/C=C\CC/2.[Ni],O=P1N([C@@H](C2=CC=CC=C2)C)CCN1[C@H](C)C3=CC=CC=C3,CC1=CC=CC=C1,,CC(C[Al](CC(C)C)CC(C)C)C,,,10.1002_ange.202209625,,1,10.1002_ange.202209625,1,20,,100,,,,,,,,,0.08,R,,,,,0.74,0.5,0,,,Ni,,,0.2,,12,,True,,10,,0,,,,P,,,,,,,0.06,,,,1,,,0.4
