Unnamed: 0,Reactant SMILES,Reactant SMILES_2,Product SMILES,Product SMILES_2,Catalyst SMILES,Ligand SMILES,Solvent SMILES,Solvent SMILES_2,Additive SMILES,Additive SMILES_2,Additive SMILES_s2,Yield 2,ee 3,Product 2 R or S,Pre catalyst 2(True or False),Ammount of additive 2,dr 3,Type of Coordination Atoms 2,Additive 2 step 2,L/M 1,L/M 2,Yield 1,Charge of Ligand 2,Ammount of reactant 1(mmol),Central Metal of Catalyst 2,Solvent Ratio,Pressure/atm,S/C 2,Solvent 2 ammount(mL),Valence of Central Metal 1,ee 1,Valence of Central Metal 2,Pre catalyst 1(True or False),Central Metal of Catalyst 1,Ligand Name 2,Ammount of additive 2 step 2,dr 2,Product 3 R or S,"Other information(use ""-"" to split, eg. 'property1-property2')",Reactant Name 2,Ligand 1 Type,Reaction ID,Additive 2,Additive 1 step 2,Reaction Temperature/C step 2,Product Name 2,Product Name 3,Reaction Temperature/C,(Pre)Catalyst Name 2,pdf name (don't include '.pdf'),Solvent 1 ammount(mL),dr 1,S/C 1,Ligand 2 Type,Type of Coordination Atoms 1,Ammount of additive 1 step 2,Reaction Time/h,Number of Coordination Atoms 1,Solvent 2,Ammount of additive 1,ee 2,Ammount of reactant 2(mmol),Reaction Time/h step 2,Product 1 R or S,LED,Number of Coordination Atoms 2,LED step 2,Ammount of Molecular Sieve(mg),Charge of Ligand 1,Reaction Type,Ref.(DOI),Yield 3,"Molecular Sieve(3A, 4A, 5A)"
0,CC(C)N(C=O)C(C)C,CCCC#CCCC,CCCC1=C(CCC)C(=O)N(C(C)C)[C@H](C)C1,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],CC1(C)O[C@H]2[C@H](O1)C(c1ccccc1)(c1ccccc1)OP(Oc1ccccc1)OC2(c1ccccc1)c1ccccc1,Cc1ccccc1,,CC(C)C[Al](CC(C)C)CC(C)C,,,,,,,,,,,1,,0.0,,0.2,,,,,,0,,,True,Ni,,,,,,oct-4-yne,,1,,,,,,100,,10.1002_ange.202209625,0.5,,20,,P,,12,1,,0.08,,0.4,,R,,,,,0,1,10.1002_ange.202209625,,
1,CC(C)N(C=O)C(C)C,CCCC#CCCC,CCCC1=C(CCC)C(=O)N(C(C)C)[C@H](C)C1,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],CN(C)P1OC(c2ccccc2)(c2ccccc2)[C@H]2OC(C)(C)O[C@@H]2C(c2ccccc2)(c2ccccc2)O1,Cc1ccccc1,,CC(C)C[Al](CC(C)C)CC(C)C,,,,,,,,,,,1,,0.4,,0.2,,,,,,0,0.4,,True,Ni,,,,,,oct-4-yne,,2,,,,,,100,,10.1002_ange.202209625,0.5,,20,,P,,12,1,,0.08,,0.4,,R,,,,,0,1,10.1002_ange.202209625,,
2,CC(C)N(C=O)C(C)C,CCCC#CCCC,CCCC1=C(CCC)C(=O)N(C(C)C)[C@H](C)C1,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],CC1(C)O[C@H]2[C@H](O1)C(c1ccccc1)(c1ccccc1)OP(N1CCCCC1)OC2(c1ccccc1)c1ccccc1,Cc1ccccc1,,CC(C)C[Al](CC(C)C)CC(C)C,,,,,,,,,,,1,,0.3,,0.2,,,,,,0,0.32,,True,Ni,,,,,,oct-4-yne,,3,,,,,,100,,10.1002_ange.202209625,0.5,,20,,P,,12,1,,0.08,,0.4,,R,,,,,0,1,10.1002_ange.202209625,,
3,CC(C)N(C=O)C(C)C,CCCC#CCCC,CCCC1=C(CCC)C(=O)N(C(C)C)[C@H](C)C1,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],CC1(C)O[C@H]2[C@H](O1)C(c1ccccc1)(c1ccccc1)O[PH](=O)OC2(c1ccccc1)c1ccccc1,Cc1ccccc1,,CC(C)C[Al](CC(C)C)CC(C)C,,,,,,,,,,,1,,0.9,,0.2,,,,,,0,0.44,,True,Ni,,,,,,oct-4-yne,,4,,,,,,100,,10.1002_ange.202209625,0.5,,20,,P,,12,1,,0.08,,0.4,,R,,,,,0,1,10.1002_ange.202209625,,
4,CC(C)N(C=O)C(C)C,CCCC#CCCC,CCCC1=C(CCC)C(=O)N(C(C)C)[C@H](C)C1,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],Cc1cc(C)cc(C2(c3cc(C)cc(C)c3)O[PH](=O)OC(c3cc(C)cc(C)c3)(c3cc(C)cc(C)c3)[C@H]3OC(C)(C)O[C@H]32)c1,Cc1ccccc1,,CC(C)C[Al](CC(C)C)CC(C)C,,,,,,,,,,,1,,0.97,,0.2,,,,,,0,0.48,,True,Ni,,,,,,oct-4-yne,,5,,,,,,100,,10.1002_ange.202209625,0.5,,20,,P,,12,1,,0.08,,0.4,,R,,,,,0,1,10.1002_ange.202209625,,
5,CC(C)N(C=O)C(C)C,CCCC#CCCC,CCCC1=C(CCC)C(=O)N(C(C)C)[C@H](C)C1,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],Cc1ccccc1C1(c2ccccc2C)O[PH](=O)OC(c2ccccc2C)(c2ccccc2C)[C@H]2OC(C)(C)O[C@H]21,Cc1ccccc1,,CC(C)C[Al](CC(C)C)CC(C)C,,,,,,,,,,,1,,0.98,,0.2,,,,,,0,0.67,,True,Ni,,,,,,oct-4-yne,,6,,,,,,100,,10.1002_ange.202209625,0.5,,20,,P,,12,1,,0.08,,0.4,,R,,,,,0,1,10.1002_ange.202209625,,
6,CC(C)N(C=O)C(C)C,CCCC#CCCC,CCCC1=C(CCC)C(=O)N(C(C)C)[C@H](C)C1,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],Cc1ccccc1C1(c2ccccc2C)O[PH](=O)OC(c2ccccc2C)(c2ccccc2C)[C@H]2OC(c3ccccc3)(c3ccccc3)O[C@H]21,Cc1ccccc1,,CC(C)C[Al](CC(C)C)CC(C)C,,,,,,,,,,,1,,0.96,,0.2,,,,,,0,0.57,,True,Ni,,,,,,oct-4-yne,,7,,,,,,100,,10.1002_ange.202209625,0.5,,20,,P,,12,1,,0.08,,0.4,,R,,,,,0,1,10.1002_ange.202209625,,
7,CC(C)N(C=O)C(C)C,CCCC#CCCC,CCCC1=C(CCC)C(=O)N(C(C)C)[C@H](C)C1,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],Cc1ccccc1C1(c2ccccc2C)O[PH](=O)OC(c2ccccc2C)(c2ccccc2C)[C@H]2OC(C3CCCCC3)(C3CCCCC3)O[C@H]21,Cc1ccccc1,,CC(C)C[Al](CC(C)C)CC(C)C,,,,,,,,,,,1,,0.94,,0.2,,,,,,0,0.68,,True,Ni,,,,,,oct-4-yne,,8,,,,,,100,,10.1002_ange.202209625,0.5,,20,,P,,12,1,,0.08,,0.4,,R,,,,,0,1,10.1002_ange.202209625,,
8,CC(C)N(C=O)C(C)C,CCCC#CCCC,CCCC1=C(CCC)C(=O)N(C(C)C)[C@H](C)C1,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],Cc1ccccc1C1(c2ccccc2C)O[PH](=O)OC(c2ccccc2C)(c2ccccc2C)[C@H]2OC(C(C)C)(C(C)C)O[C@H]21,Cc1ccccc1,,CC(C)C[Al](CC(C)C)CC(C)C,,,,,,,,,,,1,,0.98,,0.2,,,,,,0,0.65,,True,Ni,,,,,,oct-4-yne,,9,,,,,,100,,10.1002_ange.202209625,0.5,,20,,P,,12,1,,0.08,,0.4,,R,,,,,0,1,10.1002_ange.202209625,,
9,CC(C)N(C=O)C(C)C,CCCC#CCCC,CCCC1=C(CCC)C(=O)N(C(C)C)[C@H](C)C1,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],C[C@H](c1ccccc1)N1CCN([C@H](C)c2ccccc2)[PH]1=O,Cc1ccccc1,,CC(C)C[Al](CC(C)C)CC(C)C,,,,,,,,,,,1,,0.74,,0.2,,,,,,0,0.06,,True,Ni,,,,,,oct-4-yne,,10,,,,,,100,,10.1002_ange.202209625,0.5,,20,,P,,12,1,,0.08,,0.4,,R,,,,,0,1,10.1002_ange.202209625,,
10,CC(C)N(C=O)C(C)C,CCCC#CCCC,CCCC1=C(CCC)C(=O)N(C(C)C)[C@H](C)C1,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],C[C@H](c1cccc2ccccc12)N1CCN([C@H](C)c2cccc3ccccc23)[PH]1=O,Cc1ccccc1,,CC(C)C[Al](CC(C)C)CC(C)C,,,,,,,,,,,1,,0.74,,0.2,,,,,,0,0.06,,True,Ni,,,,,,oct-4-yne,,11,,,,,,100,,10.1002_ange.202209625,0.5,,20,,P,,12,1,,0.08,,0.4,,R,,,,,0,1,10.1002_ange.202209625,,
11,CC(C)N(C=O)C(C)C,CCCC#CCCC,CCCC1=C(CCC)C(=O)N(C(C)C)[C@H](C)C1,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],CC(C)(C)CN1[C@H](c2ccccc2)[C@@H](c2ccccc2)N(CC(C)(C)C)[PH]1=O,Cc1ccccc1,,CC(C)C[Al](CC(C)C)CC(C)C,,,,,,,,,,,1,,0.73,,0.2,,,,,,0,0.51,,True,Ni,,,,,,oct-4-yne,,12,,,,,,100,,10.1002_ange.202209625,0.5,,20,,P,,12,1,,0.08,,0.4,,R,,,,,0,1,10.1002_ange.202209625,,
12,CC(C)N(C=O)C(C)C,CCCC#CCCC,CCCC1=C(CCC)C(=O)N(C(C)C)[C@H](C)C1,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],CC(C)(C)CN1[C@H](c2cccc3ccccc23)[C@@H](c2cccc3ccccc23)N(CC(C)(C)C)[PH]1=O,Cc1ccccc1,,CC(C)C[Al](CC(C)C)CC(C)C,,,,,,,,,,,1,,0.72,,0.2,,,,,,0,0.6,,True,Ni,,,,,,oct-4-yne,,13,,,,,,100,,10.1002_ange.202209625,0.5,,20,,P,,12,1,,0.08,,0.4,,R,,,,,0,1,10.1002_ange.202209625,,
13,CC(C)N(C=O)C(C)C,CCCC#CCCC,CCCC1=C(CCC)C(=O)N(C(C)C)[C@H](C)C1,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],O=[PH]1N(Cc2ccccc2)[C@@H]2CCCC[C@H]2N1Cc1ccccc1,Cc1ccccc1,,CC(C)C[Al](CC(C)C)CC(C)C,,,,,,,,,,,1,,0.82,,0.2,,,,,,0,0.05,,True,Ni,,,,,,oct-4-yne,,14,,,,,,100,,10.1002_ange.202209625,0.5,,20,,P,,12,1,,0.08,,0.4,,R,,,,,0,1,10.1002_ange.202209625,,
