Reaction ID,Reaction Type,Reactant Name 1,Ammount of reactant 1(mmol),Reactant Name 2,Ammount of reactant 2(mmol),Product Name 1,Product Name 2,Product 1 R or S,Product 2 R or S,Solvent 2,Solvent 1,Solvent Ratio,Solvent 1 ammount(mL),Additive 1,Ammount of additive 1,Additive 1 step 2,Additive 2,Ammount of additive 2,"Molecular Sieve(3A, 4A, 5A)",Ammount of Molecular Sieve(mg),Pre catalyst 1(True or False),(Pre)Catalyst Name 1,Ligand Name 1,Central Metal of Catalyst 1,Valence of Central Metal 1,Charge of Ligand 1,Ligand 1 Type,Number of Coordination Atoms,Type of Coordination Atoms,Reaction Time/h,Reaction Temperature/C,Yield 1,ee 1,Yield 2,ee 2,dr 1,Pressure/atm,S/C 1,L/M 1,Ref.(DOI),pdf name (don't include '.pdf'),"Other information(use ""-"" to split, eg. 'property1-property2')"
1,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,ethyl acetate,,1,triethylamine,1.2,,,,,,TRUE,scandium(III) trifluoromethanesulfonate,L3-PiCHPh2,Sc,3,0,,4,"O,O,O,O",48,50,,,NR,,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
2,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,ethyl acetate,,1,triethylamine,1.2,,,,,,TRUE,nickel(II) trifluoromethanesulfonate,L3-PiCHPh2,Ni,2,0,,4,"O,O,O,O",48,50,0.14,,0.29,0.92,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
3,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,ethyl acetate,,1,triethylamine,1.2,,,,,,TRUE,copper(II) trifluoromethanesulfonate,L3-PiCHPh2,Cu,2,0,,4,"O,O,O,O",48,50,,,NR,,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
4,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,ethyl acetate,,1,triethylamine,1.2,,,,,,TRUE,zinc(II) trifluoromethanesulfonate,L3-PiCHPh2,Zn,2,0,,4,"O,O,O,O",48,50,,,NR,,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
5,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,ethyl acetate,,1,triethylamine,1.2,,,,,,TRUE,Lanthanum(III) trifluoromethanesulfonate,L3-PiCHPh2,La,3,0,,4,"O,O,O,O",48,50,,,NR,,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
6,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,ethyl acetate,,1,triethylamine,1.2,,,,,,TRUE,magnesium trifluoromethanesulfonate,L3-PiCHPh2,Mg,2,0,,4,"O,O,O,O",48,50,,,NR,,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
7,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,ethyl acetate,,1,triethylamine,1.2,,,,,,TRUE,ytterbium(III) trifluoromethanesulfonate,L3-PiCHPh2,Yb,3,0,,4,"O,O,O,O",48,50,,,NR,,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
8,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,ethyl acetate,,1,triethylamine,1.2,,,,,,TRUE,calcium trifluoromethanesulfonate,L3-PiCHPh2,Ca,2,0,,4,"O,O,O,O",48,50,,,NR,,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
9,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,ethyl acetate,,1,triethylamine,1.2,,,,,,TRUE,cobalt(II) perchlorate hexahydrate,L3-PiCHPh2,Co,2,0,,4,"O,O,O,O",48,50,0.59,,trace,0.86,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
10,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,ethyl acetate,,1,triethylamine,1.2,,,,,,TRUE,nickel(II) perchlorate hexahydrate,L3-PiCHPh2,Ni,2,0,,4,"O,O,O,O",48,50,0.19,,0.25,0.93,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
11,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,ethyl acetate,,1,triethylamine,1.2,,,,,,TRUE,nickel(II) tetrafluoroborate hexahydrate,L3-PiCHPh2,Ni,2,0,,4,"O,O,O,O",48,50,0.16,,0.3,0.91,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
12,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,ethyl acetate,,1,triethylamine,1.2,,,,,,TRUE,nickel(II) acetylacetonate,L3-PiCHPh2,Ni,2,0,,4,"O,O,O,O",48,50,,,NR,,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
13,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,ethyl acetate,,1,triethylamine,1.2,,,,,,TRUE,nickel(II) chloride,L3-PiCHPh2,Ni,2,0,,4,"O,O,O,O",48,50,,,NR,,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
14,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,ethyl acetate,,1,triethylamine,1.2,,,,,,TRUE,nickel bis(trifluoromethylsulfonyl)imide,L3-PiCHPh2,Ni,2,0,,4,"O,O,O,O",48,50,0,,NR,,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
15,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,ethyl acetate,,1,triethylamine,1.2,,,,,,TRUE,nickel(II) acetate tetrahydrate,L3-PiCHPh2,Ni,2,0,,4,"O,O,O,O",48,50,,,NR,,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
16,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,ethyl acetate,,1,triethylamine,1.2,,,,,,TRUE,nickel(II) trifluoromethanesulfonate,L3-PiAd,Ni,2,0,,4,"O,O,O,O",48,50,,,NR,,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
17,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,ethyl acetate,,1,triethylamine,1.2,,,,,,TRUE,nickel(II) trifluoromethanesulfonate,L3-PisEPh,Ni,2,0,,4,"O,O,O,O",48,50,,,trace,,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
18,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,ethyl acetate,,1,triethylamine,1.2,,,,,,TRUE,nickel(II) trifluoromethanesulfonate,L3-PicH,Ni,2,0,,4,"O,O,O,O",48,50,0.46,,0.17,0.96,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
19,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,ethyl acetate,,1,triethylamine,1.2,,,,,,TRUE,nickel(II) trifluoromethanesulfonate,L3-PiMe2,Ni,2,0,,4,"O,O,O,O",48,50,0.83,,0.05,0.95,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
20,2,dimethyl 2-((4-phenylbut-3-yn-2-yl)oxy)malonate,0.1,,,dimethyl (S)-2-((4-phenylbut-3-yn-2-yl)oxy)malonate,"dimethyl (R)-2-hydroxy-2-(1-phenylbuta-1,2-dien-1-yl)malonate",S,R,,ethyl acetate,,1,triethylamine,1.2,,,,,,TRUE,nickel(II) trifluoromethanesulfonate,L3-PiPr2,Ni,2,0,,4,"O,O,O,O",48,50,0.83,,0.11,0.98,,1,10,1,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",
