,Reactant SMILES,Reactant SMILES_2,Product SMILES,Product SMILES_2,Catalyst SMILES,Ligand SMILES,Solvent SMILES,Solvent SMILES_2,Additive SMILES,Additive SMILES_2,Additive SMILES_s2,Ref.(DOI),pdf name (don't include '.pdf'),L/M 1,S/C 1,Reaction Temperature/C,dr 1,Ammount of additive 1,Product 1 R or S,Ammount of additive 2,"Molecular Sieve(3A, 4A, 5A)",Yield 1,Solvent 1 ammount(mL),Charge of Ligand 1,Type of Coordination Atoms,Central Metal of Catalyst 1,Ligand 1 Type,Number of Coordination Atoms,Ammount of reactant 1(mmol),Ammount of Molecular Sieve(mg),Pre catalyst 1(True or False),Reaction ID,Yield 2,Valence of Central Metal 1,"Other information(use ""-"" to split, eg. 'property1-property2')",Product 2 R or S,Pressure/atm,ee 1,ee 2,Reaction Time/h,Reaction Type,Solvent Ratio,Ammount of reactant 2(mmol)
0,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,O=S(C(F)(F)F)([O-])=O.O=S(C(F)(F)F)([O-])=O.O=S(C(F)(F)F)([O-])=O.[Sc+3],O=C(N(C(C1=CC=CC=C1)C2=CC=CC=C2)[H])[C@H]3[N@@+]([O-])(CCCC3)CCC[N@@+]4([O-])[C@@H](CCCC4)C(N(C(C5=CC=CC=C5)C6=CC=CC=C6)[H])=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,,1.0,0.0,"O,O,O,O",Sc,,4.0,0.1,,True,1,NR,3.0,,R,1,,,48,2,,
1,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,O=S(C(F)(F)F)([O-])=O.O=S(C(F)(F)F)([O-])=O.[Ni+2],O=C(N(C(C1=CC=CC=C1)C2=CC=CC=C2)[H])[C@H]3[N@@+]([O-])(CCCC3)CCC[N@@+]4([O-])[C@@H](CCCC4)C(N(C(C5=CC=CC=C5)C6=CC=CC=C6)[H])=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,0.14,1.0,0.0,"O,O,O,O",Ni,,4.0,0.1,,True,2,0.29,2.0,,R,1,,0.92,48,2,,
2,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,O=S(C(F)(F)F)([O-])=O.O=S(C(F)(F)F)([O-])=O.[Cu+2],O=C(N(C(C1=CC=CC=C1)C2=CC=CC=C2)[H])[C@H]3[N@@+]([O-])(CCCC3)CCC[N@@+]4([O-])[C@@H](CCCC4)C(N(C(C5=CC=CC=C5)C6=CC=CC=C6)[H])=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,,1.0,0.0,"O,O,O,O",Cu,,4.0,0.1,,True,3,NR,2.0,,R,1,,,48,2,,
3,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,O=S(C(F)(F)F)([O-])=O.O=S(C(F)(F)F)([O-])=O.[Zn+2],O=C(N(C(C1=CC=CC=C1)C2=CC=CC=C2)[H])[C@H]3[N@@+]([O-])(CCCC3)CCC[N@@+]4([O-])[C@@H](CCCC4)C(N(C(C5=CC=CC=C5)C6=CC=CC=C6)[H])=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,,1.0,0.0,"O,O,O,O",Zn,,4.0,0.1,,True,4,NR,2.0,,R,1,,,48,2,,
4,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,O=S(C(F)(F)F)([O-])=O.O=S(C(F)(F)F)([O-])=O.O=S(C(F)(F)F)([O-])=O.[La+3],O=C(N(C(C1=CC=CC=C1)C2=CC=CC=C2)[H])[C@H]3[N@@+]([O-])(CCCC3)CCC[N@@+]4([O-])[C@@H](CCCC4)C(N(C(C5=CC=CC=C5)C6=CC=CC=C6)[H])=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,,1.0,0.0,"O,O,O,O",La,,4.0,0.1,,True,5,NR,3.0,,R,1,,,48,2,,
5,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,O=S(C(F)(F)F)([O-])=O.O=S(C(F)(F)F)([O-])=O.[Mg+2],O=C(N(C(C1=CC=CC=C1)C2=CC=CC=C2)[H])[C@H]3[N@@+]([O-])(CCCC3)CCC[N@@+]4([O-])[C@@H](CCCC4)C(N(C(C5=CC=CC=C5)C6=CC=CC=C6)[H])=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,,1.0,0.0,"O,O,O,O",Mg,,4.0,0.1,,True,6,NR,2.0,,R,1,,,48,2,,
6,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,O=S([O-])(C(F)(F)F)=O.O=S([O-])(C(F)(F)F)=O.O=S([O-])(C(F)(F)F)=O.[Yb+3],O=C(N(C(C1=CC=CC=C1)C2=CC=CC=C2)[H])[C@H]3[N@@+]([O-])(CCCC3)CCC[N@@+]4([O-])[C@@H](CCCC4)C(N(C(C5=CC=CC=C5)C6=CC=CC=C6)[H])=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,,1.0,0.0,"O,O,O,O",Yb,,4.0,0.1,,True,7,NR,3.0,,R,1,,,48,2,,
7,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,O=S(C(F)(F)F)([O-])=O.O=S(C(F)(F)F)([O-])=O.[Ca+2],O=C(N(C(C1=CC=CC=C1)C2=CC=CC=C2)[H])[C@H]3[N@@+]([O-])(CCCC3)CCC[N@@+]4([O-])[C@@H](CCCC4)C(N(C(C5=CC=CC=C5)C6=CC=CC=C6)[H])=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,,1.0,0.0,"O,O,O,O",Ca,,4.0,0.1,,True,8,NR,2.0,,R,1,,,48,2,,
8,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,O=Cl(=O)([O-])=O.O=Cl(=O)([O-])=O.[H]O[H].[H]O[H].[H]O[H].[H]O[H].[H]O[H].[H]O[H].[Co+2],O=C(N(C(C1=CC=CC=C1)C2=CC=CC=C2)[H])[C@H]3[N@@+]([O-])(CCCC3)CCC[N@@+]4([O-])[C@@H](CCCC4)C(N(C(C5=CC=CC=C5)C6=CC=CC=C6)[H])=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,0.59,1.0,0.0,"O,O,O,O",Co,,4.0,0.1,,True,9,trace,2.0,,R,1,,0.86,48,2,,
9,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,O=Cl(=O)([O-])=O.O=Cl(=O)([O-])=O.[H]O[H].[H]O[H].[H]O[H].[H]O[H].[H]O[H].[H]O[H].[Ni+2],O=C(N(C(C1=CC=CC=C1)C2=CC=CC=C2)[H])[C@H]3[N@@+]([O-])(CCCC3)CCC[N@@+]4([O-])[C@@H](CCCC4)C(N(C(C5=CC=CC=C5)C6=CC=CC=C6)[H])=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,0.19,1.0,0.0,"O,O,O,O",Ni,,4.0,0.1,,True,10,0.25,2.0,,R,1,,0.93,48,2,,
